notes:,Rebuilt CO2 EOR projects file with proper county assignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,2026,2027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assuming 10 barrels of water per 1 barrel of oil produced by EOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assuming 7mmcf CO2 injected per 1000 barrels of oil produced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resid,process_code,state,cnty_fips,cnty_name,district_number,rrc,Reg,region_name,play,play_name,drill_depth_ft,lateral_length_ft,API,Sulfur,federal_land,project_royalty_multiplier,std_pattern_size_acres,total_pattern_size_acres,total_pattern_source,totpat,past_wells,Ninjwell,resacc,resacc_source,NGPL,NGPLET,NGPLPR,NGPLBU,NGPLIS,NGPLPP,OP1,OP2,OP3,OP4,OP5,OP6,OP7,OP8,OP9,OP10,OP11,OP12,OP13,OP14,OP15,OP16,OP17,OP18,OP19,OP20,OP21,OP22,OP23,OP24,OP25,OP26,OP27,OP28,OP29,OP30,OP31,OP32,OP33,OP34,OP35,OP36,OP37,OP38,OP39,OP40,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP9,GP10,GP11,GP12,GP13,GP14,GP15,GP16,GP17,GP18,GP19,GP20,GP21,GP22,GP23,GP24,GP25,GP26,GP27,GP28,GP29,GP30,GP31,GP32,GP33,GP34,GP35,GP36,GP37,GP38,GP39,GP40,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP20,WP21,WP22,WP23,WP24,WP25,WP26,WP27,WP28,WP29,WP30,WP31,WP32,WP33,WP34,WP35,WP36,WP37,WP38,WP39,WP40,II1,II2,II3,II4,II5,II6,II7,II8,II9,II10,II11,II12,II13,II14,II15,II16,II17,II18,II19,II20,II21,II22,II23,II24,II25,II26,II27,II28,II29,II30,II31,II32,II33,II34,II35,II36,II37,II38,II39,II40,WL1,WL2,WL3,WL4,WL5,WL6,WL7,WL8,WL9,WL10,WL11,WL12,WL13,WL14,WL15,WL16,WL17,WL18,WL19,WL20,WL21,WL22,WL23,WL24,WL25,WL26,WL27,WL28,WL29,WL30,WL31,WL32,WL33,WL34,WL35,WL36,WL37,WL38,WL39,WL40
DOLA493804110,10,LA,41,Franklin (Parish),20,0,2,gulf_coast,4938,tuscaloosa stratigraphic oil and gas,3678.2,4929,41.53,1.2,0,0,96.6039604,5407.492823,district,56,0,0,10,default,26.93069307,0.43049505,0.285009901,0.092079208,0.067930693,0.124485149,65.943768,56.0522028,47.64437238,45.26215376,42.99904607,40.84909377,38.80663908,36.86630713,35.02299177,33.27184218,31.60825007,30.02783757,28.52644569,27.10012341,25.74511724,24.45786137,23.23496831,22.07321989,20.9695589,19.92108095,18.9250269,17.97877556,17.07983678,16.22584494,15.41455269,14.64382506,13.91163381,13.21605212,12.55524951,11.92748703,11.33111268,10.76455705,10.2263292,9.715012737,9.2292621,8.767798995,8.329409045,7.912938593,7.517291663,7.14142708,70.71,71.89,71.92,60.28,49.18,46.79,33.78,27.05,17.57,4.36,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659.43768,560.522028,476.4437238,452.6215376,429.9904607,408.4909377,388.0663908,368.6630713,350.2299177,332.7184218,316.0825007,300.2783757,285.2644569,271.0012341,257.4511724,244.5786137,232.3496831,220.7321989,209.695589,199.2108095,189.250269,179.7877556,170.7983678,162.2584494,154.1455269,146.4382506,139.1163381,132.1605212,125.5524951,119.2748703,113.3111268,107.6455705,102.263292,97.15012737,92.292621,87.67798995,83.29409045,79.12938593,75.17291663,71.4142708,462,392,334,317,301,286,272,258,245,233,221,210,200,190,180,171,163,155,147,139,132,126,120,114,108,103,97,93,88,83,79,75,72,68,65,61,58,55,53,50,15,15,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOMS492108910,10,MS,89,Madison,27,0,2,gulf_coast,4921,cotton valley updip oil,15500,1918.855455,35,1.2,1,0.04,64,348,county,6,0,0,10,old_continuous_county_min,20,0.428,0.29,0.048,0.117,0.117,2.841784,2.4155164,2.05318894,1.950529493,1.853003018,1.760352867,1.672335224,1.588718463,1.50928254,1.433818413,1.362127492,1.294021117,1.229320062,1.167854059,1.109461356,1.053988288,1.001288873,0.95122443,0.903663208,0.858480048,0.815556045,0.774778243,0.736039331,0.699237364,0.664275496,0.631061721,0.599508635,0.569533204,0.541056543,0.514003716,0.48830353,0.463888354,0.440693936,0.418659239,0.397726277,0.377839964,0.358947965,0.341000567,0.323950539,0.307753012,1.33,0.01,1.05,0.28,0.14,0.59,0.47,0.12,0.13,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.41784,24.155164,20.5318894,19.50529493,18.53003018,17.60352867,16.72335224,15.88718463,15.0928254,14.33818413,13.62127492,12.94021117,12.29320062,11.67854059,11.09461356,10.53988288,10.01288873,9.5122443,9.03663208,8.58480048,8.15556045,7.74778243,7.36039331,6.99237364,6.64275496,6.31061721,5.99508635,5.69533204,5.41056543,5.14003716,4.8830353,4.63888354,4.40693936,4.18659239,3.97726277,3.77839964,3.58947965,3.41000567,3.23950539,3.07753012,20,17,14,14,13,12,12,11,11,10,10,9,9,8,8,7,7,7,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,2,2,2,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOMS492512710,10,MS,127,Rankin,27,0,2,gulf_coast,4925,hosston updip oil,14149.75,893,43.53333333,1.2,1,0.07,64,348,county,6,0,0,10,old_continuous_county_min,20,0.428,0.29,0.048,0.117,0.117,12.748296,10.8360516,9.21064386,8.750111667,8.312606084,7.896975779,7.50212699,7.127020641,6.770669609,6.432136128,6.110529322,5.805002856,5.514752713,5.239015077,4.977064324,4.728211107,4.491800552,4.267210524,4.053849998,3.851157498,3.658599623,3.475669642,3.30188616,3.136791852,2.97995226,2.830954647,2.689406914,2.554936569,2.42718974,2.305830253,2.19053874,2.081011803,1.976961213,1.878113153,1.784207495,1.69499712,1.610247264,1.529734901,1.453248156,1.380585748,4.63,0.04,3.96,0.7,0.83,2.17,1.36,0.37,0.67,1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.48296,108.360516,92.1064386,87.50111667,83.12606084,78.96975779,75.0212699,71.27020641,67.70669609,64.32136128,61.10529322,58.05002856,55.14752713,52.39015077,49.77064324,47.28211107,44.91800552,42.67210524,40.53849998,38.51157498,36.58599623,34.75669642,33.0188616,31.36791852,29.7995226,28.30954647,26.89406914,25.54936569,24.2718974,23.05830253,21.9053874,20.81011803,19.76961213,18.78113153,17.84207495,16.9499712,16.10247264,15.29734901,14.53248156,13.80585748,89,76,64,61,58,55,53,50,47,45,43,41,39,37,35,33,31,30,28,27,26,24,23,22,21,20,19,18,17,16,15,15,14,13,12,12,11,11,10,10,15,15,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOMS494016310,10,MS,163,Yazoo,27,0,2,gulf_coast,4940,eutaw/tokio updip oil,5540.2,1035.666667,40.1125,1.2,1,0.17,80,397.7142857,county,5,0,0,10,old_continuous_county_min,20,0.428,0.29,0.048,0.117,0.117,36.186392,30.7584332,26.14466822,24.83743481,23.59556307,22.41578492,21.29499567,20.23024589,19.21873359,18.25779691,17.34490707,16.47766171,15.65377863,14.8710897,14.12753521,13.42115845,12.75010053,12.1125955,11.50696573,10.93161744,10.38503657,9.86578474,9.372495503,8.903870728,8.458677191,8.035743332,7.633956165,7.252258357,6.889645439,6.545163167,6.217905009,5.907009758,5.61165927,5.331076307,5.064522492,4.811296367,4.570731549,4.342194971,4.125085223,3.918830962,0.19,0.12,0.25,0.17,0.19,0.16,0.15,0.12,0.14,0.1,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.86392,307.584332,261.4466822,248.3743481,235.9556307,224.1578492,212.9499567,202.3024589,192.1873359,182.5779691,173.4490707,164.7766171,156.5377863,148.710897,141.2753521,134.2115845,127.5010053,121.125955,115.0696573,109.3161744,103.8503657,98.6578474,93.72495503,89.03870728,84.58677191,80.35743332,76.33956165,72.52258357,68.89645439,65.45163167,62.17905009,59.07009758,56.1165927,53.31076307,50.64522492,48.11296367,45.70731549,43.42194971,41.25085223,39.18830962,253,215,183,174,165,157,149,142,135,128,121,115,110,104,99,94,89,85,81,77,73,69,66,62,59,56,53,51,48,46,44,41,39,37,35,34,32,30,29,27,20,20,20,20,20,20,20,10,10,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOTX470104110,10,TX,41,Brazoria,50,3,2,gulf_coast,4701,houston salt dome flank oil and gas,5840.97,2728,33.35,0.22,1,0.1,103.0553064,885.7863975,district,9,0,0,10,default,96.4498283,0.436523723,0.301758735,0.069524407,0.089863546,0.102329589,147.485184,125.3624064,106.5580454,101.2301432,96.16863601,91.36020421,86.792194,82.4525843,78.32995508,74.41345733,70.69278446,67.15814524,63.80023798,60.61022608,57.57971478,54.70072904,51.96569258,49.36740796,46.89903756,44.55408568,42.3263814,40.21006233,38.19955921,36.28958125,34.47510219,32.75134708,31.11377972,29.55809074,28.0801862,26.67617689,25.34236805,24.07524964,22.87148716,21.7279128,20.64151716,19.60944131,18.62896924,17.69752078,16.81264474,15.9720125,56.11,9.52,46.42,20.41,20.68,24.19,22.53,12.45,13.65,16.39,12.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1474.85184,1253.624064,1065.580454,1012.301432,961.6863601,913.6020421,867.92194,824.525843,783.2995508,744.1345733,706.9278446,671.5814524,638.0023798,606.1022608,575.7971478,547.0072904,519.6569258,493.6740796,468.9903756,445.5408568,423.263814,402.1006233,381.9955921,362.8958125,344.7510219,327.5134708,311.1377972,295.5809074,280.801862,266.7617689,253.4236805,240.7524964,228.7148716,217.279128,206.4151716,196.0944131,186.2896924,176.9752078,168.1264474,159.720125,1032,878,746,709,673,640,608,577,548,521,495,470,447,424,403,383,364,346,328,312,296,281,267,254,241,229,218,207,197,187,177,169,160,152,144,137,130,124,118,112,135,135,135,135,135,130,130,130,122,110,95,75,73,55,50,50,50,47,40,32,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
DOTX473303910,10,TX,39,Chambers,49,2,2,gulf_coast,4733,frio south texas mid-dip oil and gas,6778.55,3232,33.98,0.22,1,0.03,103.0553064,2199.526655,district,22,0,0,10,default,96.4498283,0.436523723,0.301758735,0.069524407,0.089863546,0.102329589,122.105896,103.7900116,88.22150986,83.81043437,79.61991265,75.63891702,71.85697117,68.26412261,64.85091648,61.60837065,58.52795212,55.60155451,52.82147679,50.18040295,47.6713828,45.28781366,43.02342298,40.87225183,38.82863924,36.88720728,35.04284691,33.29070457,31.62616934,30.04486087,28.54261783,27.11548694,25.75971259,24.47172696,23.24814061,22.08573358,20.9814469,19.93237456,18.93575583,17.98896804,17.08951964,16.23504365,15.42329147,14.6521269,13.91952055,13.22354453,65.61,5.77,55.47,17.54,12.35,32.35,24.4,8.65,9.4,18.16,14.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221.05896,1037.900116,882.2150986,838.1043437,796.1991265,756.3891702,718.5697117,682.6412261,648.5091648,616.0837065,585.2795212,556.0155451,528.2147679,501.8040295,476.713828,452.8781366,430.2342298,408.7225183,388.2863924,368.8720728,350.4284691,332.9070457,316.2616934,300.4486087,285.4261783,271.1548694,257.5971259,244.7172696,232.4814061,220.8573358,209.814469,199.3237456,189.3575583,179.8896804,170.8951964,162.3504365,154.2329147,146.521269,139.1952055,132.2354453,855,727,618,587,557,529,503,478,454,431,410,389,370,351,334,317,301,286,272,258,245,233,221,210,200,190,180,171,163,155,147,140,133,126,120,114,108,103,97,93,34,30,30,25,20,17,10,10,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOKS530519110,10,KS,191,Sumner,18,0,3,midcontinent,5305,pennsylvanian cyclical carbonates and sandstones,3455.83,5083.66,42.11269807,0.24,0,0,160,1020.356721,district,7,0,0,10,default,0,0.362,0.336,0.116,0.06,0.126,384.159248,326.5353608,277.5550567,263.6773038,250.4934387,237.9687667,226.0703284,214.766812,204.0284714,193.8270478,184.1356954,174.9289106,166.1824651,157.8733419,149.9796748,142.480691,135.3566565,128.5888236,122.1593825,116.0514133,110.2488427,104.7364005,99.49958051,94.52460149,89.79837141,85.30845284,81.0430302,76.99087869,73.14133476,69.48426802,66.01005462,62.70955189,59.57407429,56.59537058,53.76560205,51.07732195,48.52345585,46.09728306,43.7924189,41.60279796,221.17,80.92,173.6,111.74,116.39,98.16,87.52,71.62,75.47,72.55,43.98,1.53,1.06,0.98,0.46,0.34,0.24,0.12,0.13,0.18,0.23,0.27,0.31,0.28,0.24,0.19,0.15,0.14,0.14,0.14,0.16,0.17,0.18,0.19,0.19,0.16,0,0,0,0,3841.59248,3265.353608,2775.550567,2636.773038,2504.934387,2379.687667,2260.703284,2147.66812,2040.284714,1938.270478,1841.356954,1749.289106,1661.824651,1578.733419,1499.796748,1424.80691,1353.566565,1285.888236,1221.593825,1160.514133,1102.488427,1047.364005,994.9958051,945.2460149,897.9837141,853.0845284,810.430302,769.9087869,731.4133476,694.8426802,660.1005462,627.0955189,595.7407429,565.9537058,537.6560205,510.7732195,485.2345585,460.9728306,437.924189,416.0279796,2689,2286,1943,1846,1753,1666,1582,1503,1428,1357,1289,1225,1163,1105,1050,997,947,900,855,812,772,733,696,662,629,597,567,539,512,486,462,439,417,396,376,358,340,323,307,291,645,630,559,519,477,461,424,396,348,297,265,221,197,168,135,120,120,120,120,113,110,107,91,90,90,90,80,80,80,80,80,80,80,80,80,71,69,60,60,60
DOKS530905110,10,KS,51,Ellis,18,0,3,midcontinent,5309,early ordovician/cambrian arbuckle,3728.76,4374.465,42.11269807,0.24,0,0,160,1019.365093,district,7,0,0,10,default,0,0.362,0.336,0.116,0.06,0.126,85.85896,72.980116,62.0330986,58.93144367,55.98487149,53.18562791,50.52634652,48.00002919,45.60002773,43.32002634,41.15402503,39.09632378,37.14150759,35.28443221,33.5202106,31.84420007,30.25199006,28.73939056,27.30242103,25.93729998,24.64043498,23.40841323,22.23799257,21.12609294,20.0697883,19.06629888,18.11298394,17.20733474,16.346968,15.5296196,14.75313862,14.01548169,13.31470761,12.64897223,12.01652362,11.41569743,10.84491256,10.30266693,9.787533588,9.298156909,48.15,23.41,37.56,31.78,27.68,22.59,22.51,18.48,18.61,16.03,8.48,0.36,0.33,0.32,0.29,0.26,0.29,0.27,0.28,0.27,0.23,0.23,0.22,0.22,0.22,0.2,0.2,0.18,0.18,0.19,0.19,0.18,0.17,0.15,0.15,0.12,0,0,0,0,858.5896,729.80116,620.330986,589.3144367,559.8487149,531.8562791,505.2634652,480.0002919,456.0002773,433.2002634,411.5402503,390.9632378,371.4150759,352.8443221,335.202106,318.4420007,302.5199006,287.3939056,273.0242103,259.3729998,246.4043498,234.0841323,222.3799257,211.2609294,200.697883,190.6629888,181.1298394,172.0733474,163.46968,155.296196,147.5313862,140.1548169,133.1470761,126.4897223,120.1652362,114.1569743,108.4491256,103.0266693,97.87533588,92.98156909,601,511,434,413,392,372,354,336,319,303,288,274,260,247,235,223,212,201,191,182,172,164,156,148,140,133,127,120,114,109,103,98,93,89,84,80,76,72,69,65,185,185,174,169,165,160,143,123,120,119,115,98,95,91,90,90,90,90,90,90,90,90,90,90,90,90,90,87,80,80,80,80,80,80,80,80,80,80,80,80
DOKS550508110,10,KS,81,Haskell,18,0,3,midcontinent,5505,pennsylvanian stratigraphic,1830.91,5373.43,38.30697674,0.24,0,0,160,900.1956947,county,6,0,0,10,old_continuous_county_min,0,0.362,0.336,0.116,0.06,0.126,68.426072,58.1621612,49.43783702,46.96594517,44.61764791,42.38676552,40.26742724,38.25405588,36.34135308,34.52428543,32.79807116,31.1581676,29.60025922,28.12024626,26.71423395,25.37852225,24.10959614,22.90411633,21.75891051,20.67096499,19.63741674,18.6555459,17.72276861,16.83663018,15.99479867,15.19505873,14.4353058,13.71354051,13.02786348,12.37647031,11.75764679,11.16976445,10.61127623,10.08071242,9.576676798,9.097842958,8.64295081,8.210803269,7.800263106,7.410249951,45.56,30.62,12.98,32.85,24.71,14.94,15.95,20.07,20.4,13.62,8.74,7.48,9.59,11.9,8.77,7.78,5.95,3.4,2.92,2.7,2.38,1.85,1.77,0.98,0.85,1.05,0.94,0.74,0.46,0.14,0.25,0.43,0.5,0.51,0,0,0,0,0,0,684.26072,581.621612,494.3783702,469.6594517,446.1764791,423.8676552,402.6742724,382.5405588,363.4135308,345.2428543,327.9807116,311.581676,296.0025922,281.2024626,267.1423395,253.7852225,241.0959614,229.0411633,217.5891051,206.7096499,196.3741674,186.555459,177.2276861,168.3663018,159.9479867,151.9505873,144.353058,137.1354051,130.2786348,123.7647031,117.5764679,111.6976445,106.1127623,100.8071242,95.76676798,90.97842958,86.4295081,82.10803269,78.00263106,74.10249951,479,407,346,329,312,297,282,268,254,242,230,218,207,197,187,178,169,160,152,145,137,131,124,118,112,106,101,96,91,87,82,78,74,71,67,64,61,57,55,52,65,65,55,39,35,35,32,22,16,15,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DOOK600104710,10,OK,47,Garfield,41,0,3,midcontinent,6001,pre-woodford paleozoic,6060.62,6081,53.5,0.046,0,0,113.3333333,3920.628571,county,35,0,0,10,old_continuous_county_min,136.5666667,0.463974746,0.303205094,0.109562281,0.042917459,0.08034042,213.4,192.06,172.854,155.5686,140.01174,126.010566,113.4095094,102.0685585,91.86170261,82.67553235,74.40797912,66.96718121,60.27046309,54.24341678,48.8190751,43.93716759,39.54345083,35.58910575,32.03019517,28.82717566,25.94445809,23.35001228,21.01501105,18.91350995,17.02215895,15.31994306,13.78794875,12.40915388,11.16823849,10.05141464,9.046273176,8.141645858,7.327481273,6.594733145,5.935259831,5.341733848,4.807560463,4.326804417,3.894123975,3.504711577,320.46,94.04,272.56,139.85,153.71,161.37,124.32,94.62,104.34,106.86,66.94,5.13,3.95,2.91,2.13,1.37,0.93,1.22,1.42,1.47,1.68,1.55,1.23,0.93,0.74,0.65,0.57,0.66,0.84,0.93,0.94,0.75,0.58,0.44,0.41,0,0,0,0,0,2134,1920.6,1728.54,1555.686,1400.1174,1260.10566,1134.095094,1020.685585,918.6170261,826.7553235,744.0797912,669.6718121,602.7046309,542.4341678,488.190751,439.3716759,395.4345083,355.8910575,320.3019517,288.2717566,259.4445809,233.5001228,210.1501105,189.1350995,170.2215895,153.1994306,137.8794875,124.0915388,111.6823849,100.5141464,90.46273176,81.41645858,73.27481273,65.94733145,59.35259831,53.41733848,48.07560463,43.26804417,38.94123975,35.04711577,1494,1344,1210,1089,980,882,794,714,643,579,521,469,422,380,342,308,277,249,224,202,182,163,147,132,119,107,97,87,78,70,63,57,51,46,42,37,34,30,27,25,420,366,307,250,200,186,167,159,129,111,88,69,44,30,17,10,10,10,10,10,10,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
