notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resid,process_code,state,cnty_fips,cnty_name,district_number,rrc,Reg,region_name,play,play_name,drill_depth_ft,lateral_length_ft,API,Sulfur,federal_land,project_royalty_multiplier,std_pattern_size_acres,total_pattern_size_acres,totpat,past_wells,Ninjwell,resacc,NGPL,NGPLET,NGPLPR,NGPLBU,NGPLIS,NGPLPP,OP1,OP2,OP3,OP4,OP5,OP6,OP7,OP8,OP9,OP10,OP11,OP12,OP13,OP14,OP15,OP16,OP17,OP18,OP19,OP20,OP21,OP22,OP23,OP24,OP25,OP26,OP27,OP28,OP29,OP30,OP31,OP32,OP33,OP34,OP35,OP36,OP37,OP38,OP39,OP40,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP9,GP10,GP11,GP12,GP13,GP14,GP15,GP16,GP17,GP18,GP19,GP20,GP21,GP22,GP23,GP24,GP25,GP26,GP27,GP28,GP29,GP30,GP31,GP32,GP33,GP34,GP35,GP36,GP37,GP38,GP39,GP40,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP20,WP21,WP22,WP23,WP24,WP25,WP26,WP27,WP28,WP29,WP30,WP31,WP32,WP33,WP34,WP35,WP36,WP37,WP38,WP39,WP40,II1,II2,II3,II4,II5,II6,II7,II8,II9,II10,II11,II12,II13,II14,II15,II16,II17,II18,II19,II20,II21,II22,II23,II24,II25,II26,II27,II28,II29,II30,II31,II32,II33,II34,II35,II36,II37,II38,II39,II40,WL1,WL2,WL3,WL4,WL5,WL6,WL7,WL8,WL9,WL10,WL11,WL12,WL13,WL14,WL15,WL16,WL17,WL18,WL19,WL20,WL21,WL22,WL23,WL24,WL25,WL26,WL27,WL28,WL29,WL30,WL31,WL32,WL33,WL34,WL35,WL36,WL37,WL38,WL39,WL40
DGAL490909701,1,AL,97,Mobile,2,1,2,gulf_coast,4909,smackover wiggins - baldwin flanks gas,18427,1491.113333,42.11269807,2.41,1,0.01,110.5882353,,,0,0,10,2.352941176,0.410352941,0.268823529,0.100058824,0.075529412,0.146117647,20.57949,18.28007,16.98678,16.0701,15.38967,14.86704,14.45295,14.1154,13.83288,13.59088,13.37929,13.19114,13.02144,12.86662,12.72395,12.59157,12.46792,12.35182,12.2423,12.1387,12.04033,11.94672,11.85739,11.77204,11.69029,11.61186,11.5365,11.46407,11.3942,11.32687,11.26189,11.19907,11.13837,11.07954,11.02252,10.96724,10.91357,10.86146,10.81082,10.76152,319.81189,298.20787,281.57403,267.78362,256.11832,246.09215,237.36154,229.67567,222.84613,216.72856,211.21002,206.20101,201.62934,197.43623,193.57316,189.99991,186.68254,183.59255,180.7054,178.00028,175.459,173.06592,170.80738,168.67129,166.64716,164.72553,162.8982,161.15767,159.49734,157.91125,156.39409,154.94099,153.54751,152.20977,150.92415,149.68725,148.49618,147.34811,146.24046,145.17096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL491005301,1,AL,53,Escambia,1,0,2,gulf_coast,4910,smackover alabama/florida peripheral fault zone oil and gas,15605.2,1491.113333,42.11269807,2.41,1,0.05,80,464,6,0,0,10,20,0.428,0.29,0.048,0.117,0.117,72.69012,58.13094,36.22227,26.36705,21.04115,17.89197,15.88819,14.52491,13.53934,12.78848,12.19109,11.69909,11.28275,10.92307,10.60708,10.32589,10.07326,9.8442,9.6351,9.44312,9.26596,9.10167,8.94874,8.80596,8.67221,8.54659,8.42816,8.31629,8.21057,8.11023,8.01491,7.92421,7.83776,7.75524,7.67632,7.60068,7.52829,7.45871,7.3919,7.32758,3092.8658,2659.93944,2337.09246,2086.16804,1884.8287,1719.29927,1580.67639,1462.95039,1361.89921,1274.44546,1198.271,1131.57853,1072.9408,1021.20109,975.40648,934.76211,898.59814,866.3448,837.5148,811.68896,788.50526,767.64975,748.84938,731.86615,716.49199,702.54489,689.86495,678.31181,667.76203,658.10684,649.25011,641.10721,633.60301,626.67128,620.25309,614.29647,608.75483,603.58715,598.75686,594.23128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL491009701,1,AL,97,Mobile,2,1,2,gulf_coast,4910,smackover alabama/florida peripheral fault zone oil and gas,18301,1491.113333,42.11269807,2.41,1,0.01,110.5882353,,,0,0,10,2.352941176,0.410352941,0.268823529,0.100058824,0.075529412,0.146117647,35.01292,21.11915,11.0994,8.71494,6.95068,5.55277,4.43766,3.54697,2.83523,2.26634,1.81164,1.4481,1.15759,0.92536,0.7397,0.5913,0.47267,0.37784,0.30203,0.24144,0.19303,0.15429,0.12334,0.09859,0.07882,0.06301,0.05036,0.04027,0.03218,0.02572,0.02055,0.01643,0.01312,0.01051,0.00839,0.00669,0.00537,0.00429,0.00343,0.00274,1024.89463,809.17045,648.9612,529.41677,439.9372,372.77363,322.21121,284.01792,255.0529,232.98178,216.06764,203.01727,192.86666,184.89711,178.57201,173.49039,169.35243,165.93363,163.06564,160.62195,158.50749,156.65046,154.99651,153.50454,152.14308,150.88809,149.72123,148.62812,147.59754,146.6209,145.69112,144.80271,143.95117,143.13285,142.34465,141.58405,140.84892,140.13736,139.44779,138.77884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL491103501,1,AL,35,Conecuh,1,0,2,gulf_coast,4911,smackover alabama/florida updip oil,12220,1453.28,42.11269807,2.41,0,0,80,1392,18,0,0,10,20,0.428,0.29,0.048,0.117,0.117,10.68962,9.4387,8.48815,7.74221,7.1448,6.65909,6.25923,5.9266,5.64703,5.41006,5.20741,5.03269,4.8809,4.74801,4.63088,4.5269,4.43398,4.35043,4.27491,4.20615,4.14336,4.08561,4.03233,3.98295,3.93695,3.89398,3.85363,3.81571,3.77995,3.74606,3.71395,3.68339,3.65426,3.62644,3.5998,3.5743,3.54976,3.52621,3.50351,3.48161,250.23998,198.46715,170.42151,146.94191,127.20664,110.57062,96.51481,84.61555,74.52405,65.95118,58.65638,52.43887,47.13057,42.59042,38.70014,35.36011,32.48657,30.00887,27.86736,26.01177,24.39959,22.99482,21.76709,20.69054,19.74341,18.90709,18.16591,17.50643,16.91733,16.3889,15.91293,15.48238,15.09125,14.73438,14.40745,14.10663,13.82872,13.57099,13.33103,13.10677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL586507305,5,AL,73,Jefferson,1,0,2,gulf_coast,5865,chattanooga shale,1583.16,2841,42.11269807,2.41,0,0,80,4065.28,1,80,0,10,0,0.408,0.266,0.107,0.07,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.07053,394.48707,362.74828,338.97264,320.46531,305.61611,293.40718,283.16545,274.42885,266.86975,260.24967,254.39113,249.15908,244.44903,240.17931,236.28394,232.71058,229.41613,226.36432,223.52663,220.8778,218.39687,216.06593,213.86979,211.79541,209.831,207.96685,206.19391,204.50458,202.89238,201.35066,199.87439,198.45871,197.09949,195.79208,194.53361,193.32083,192.15084,191.02053,189.92808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL586507307,7,AL,73,Jefferson,1,0,2,gulf_coast,5865,chattanooga shale,1583.16,2841,42.11269807,2.41,0,0,80,4065.28,1,80,0,10,0,0.408,0.266,0.107,0.07,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097.676325,986.217675,906.8707,847.4316,801.163275,764.040275,733.51795,707.913625,686.072125,667.174375,650.624175,635.977825,622.8977,611.122575,600.448275,590.70985,581.77645,573.540325,565.9108,558.816575,552.1945,545.992175,540.164825,534.674475,529.488525,524.5775,519.917125,515.484775,511.26145,507.23095,503.37665,499.685975,496.146775,492.748725,489.4802,486.334025,483.302075,480.3771,477.551325,474.8202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL586512505,5,AL,125,Tuscaloosa,1,0,2,gulf_coast,5865,chattanooga shale,1636.91,2841,42.11269807,2.41,1,0.01,80,11586.048,23,2202,0,10,0,0.408,0.266,0.107,0.07,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7779.05446,7311.36205,6705.22776,6274.65069,5933.50958,5651.22433,5411.64395,5204.71052,5023.58763,4863.37439,4720.41764,4591.91682,4475.67448,4369.93524,4273.27487,4184.52742,4102.71556,4027.02862,3956.77509,3891.36826,3830.30284,3773.14235,3719.5073,3669.06951,3621.53631,3576.65376,3534.19386,3493.95596,3455.7623,3419.45087,3384.87895,3351.91639,3320.4469,3290.36455,3261.57354,3233.9853,3207.52342,3182.11328,3157.68913,3134.18934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL586512507,7,AL,125,Tuscaloosa,1,0,2,gulf_coast,5865,chattanooga shale,1636.91,2841,42.11269807,2.41,1,0.01,80,11586.048,23,2202,0,10,0,0.408,0.266,0.107,0.07,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19447.63615,18278.40513,16763.0694,15686.62673,14833.77395,14128.06082,13529.10988,13011.7763,12558.96907,12158.43598,11801.0441,11479.79205,11189.1862,10924.8381,10683.18717,10461.31855,10256.7889,10067.57155,9891.937725,9728.42065,9575.7571,9432.855875,9298.76825,9172.673775,9053.840775,8941.6344,8835.48465,8734.8899,8639.40575,8548.627175,8462.197375,8379.790975,8301.11725,8225.911375,8153.93385,8084.96325,8018.80855,7955.2832,7894.222825,7835.47335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL650005701,1,AL,57,Fayette,1,0,2,gulf_coast,6500,black warrior basin,2410.05,1491.113333,42.11269807,2.41,0,0,160,2890.38961,19,0,0,10,0,0.408,0.266,0.107,0.07,0.15,0.4862,0.30925,0.24196,0.20898,0.18671,0.16988,0.15636,0.14534,0.13607,0.12816,0.12128,0.11526,0.10994,0.10519,0.10093,0.09705,0.09358,0.09029,0.08737,0.0847,0.08209,0.07984,0.07763,0.07556,0.07365,0.07189,0.07027,0.06849,0.06704,0.0657,0.06431,0.06306,0.06181,0.06061,0.05946,0.05844,0.05748,0.05654,0.05553,0.05466,223.09904,193.93131,170.79591,155.30646,143.78307,134.83526,127.68361,121.83191,116.94739,112.7987,109.22201,106.09789,103.33887,100.87823,98.66537,96.66089,94.83347,93.15852,91.6151,90.18688,88.86,87.62295,86.46571,85.37983,84.35836,83.39477,82.48386,81.62102,80.80153,80.02231,79.27973,78.57108,77.8937,77.24529,76.62352,76.02708,75.4538,74.90226,74.3711,73.85901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DGAL650005707,7,AL,57,Fayette,1,0,2,gulf_coast,6500,black warrior basin,1626.36,1491.113333,42.11269807,2.41,0,0,160,12139.63636,55,21,0,10,0,0.408,0.266,0.107,0.07,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.883425,117.930275,104.498275,95.639225,89.11765,84.0901,80.0936,76.83775,74.13075,71.838125,69.86695,68.14785,66.631275,65.279175,64.0624,62.95865,61.95055,61.0242,60.1677,59.3724,58.6305,57.935775,57.2833,56.667875,56.08625,55.535125,55.01145,54.513175,54.03755,53.58315,53.147975,52.7309,52.3305,51.945475,51.5746,51.2175,50.87285,50.53975,50.218075,49.9066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
