notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resid,process_code,state,cnty_fips,cnty_name,district_number,rrc,Reg,region_name,play,play_name,drill_depth_ft,lateral_length_ft,API,Sulfur,federal_land,project_royalty_multiplier,std_pattern_size_acres,total_pattern_size_acres,totpat,past_wells,Ninjwell,resacc,NGPL,NGPLET,NGPLPR,NGPLBU,NGPLIS,NGPLPP,OP1,OP2,OP3,OP4,OP5,OP6,OP7,OP8,OP9,OP10,OP11,OP12,OP13,OP14,OP15,OP16,OP17,OP18,OP19,OP20,OP21,OP22,OP23,OP24,OP25,OP26,OP27,OP28,OP29,OP30,OP31,OP32,OP33,OP34,OP35,OP36,OP37,OP38,OP39,OP40,GP1,GP2,GP3,GP4,GP5,GP6,GP7,GP8,GP9,GP10,GP11,GP12,GP13,GP14,GP15,GP16,GP17,GP18,GP19,GP20,GP21,GP22,GP23,GP24,GP25,GP26,GP27,GP28,GP29,GP30,GP31,GP32,GP33,GP34,GP35,GP36,GP37,GP38,GP39,GP40,WP1,WP2,WP3,WP4,WP5,WP6,WP7,WP8,WP9,WP10,WP11,WP12,WP13,WP14,WP15,WP16,WP17,WP18,WP19,WP20,WP21,WP22,WP23,WP24,WP25,WP26,WP27,WP28,WP29,WP30,WP31,WP32,WP33,WP34,WP35,WP36,WP37,WP38,WP39,WP40,II1,II2,II3,II4,II5,II6,II7,II8,II9,II10,II11,II12,II13,II14,II15,II16,II17,II18,II19,II20,II21,II22,II23,II24,II25,II26,II27,II28,II29,II30,II31,II32,II33,II34,II35,II36,II37,II38,II39,II40,WL1,WL2,WL3,WL4,WL5,WL6,WL7,WL8,WL9,WL10,WL11,WL12,WL13,WL14,WL15,WL16,WL17,WL18,WL19,WL20,WL21,WL22,WL23,WL24,WL25,WL26,WL27,WL28,WL29,WL30,WL31,WL32,WL33,WL34,WL35,WL36,WL37,WL38,WL39,WL40
DOAL490909700,0,AL,97,Mobile,2,1,2,gulf_coast,4909,smackover wiggins - baldwin flanks gas,,1491.113333,42.11269807,2.41,1,0.01,110.5882353,,,0,0,10,2.352941176,0.410352941,0.268823529,0.100058824,0.075529412,0.146117647,67.29601,63.09137,59.38137,56.08355,53.13288,50.47719,48.0744,45.89001,43.89552,42.06722,40.38514,38.83243,37.39469,36.05964,34.81664,33.65649,32.57114,31.55363,30.59775,29.69813,28.84988,28.04873,27.2909,26.57293,25.89177,25.24466,24.62909,24.04288,23.48388,22.95034,22.44044,21.95274,21.48579,21.03827,20.60902,20.19696,19.80102,19.42035,19.054,18.70123,69.8139,63.13319,58.1797,54.32314,51.21349,48.63887,46.46263,44.5923,42.9628,41.52679,40.24898,39.10246,38.06626,37.12379,36.26182,35.46945,34.73789,34.05971,33.42869,32.83966,32.28814,31.77031,31.28288,30.82294,30.38805,29.97595,29.58476,29.21272,28.85837,28.52028,28.19726,27.88824,27.59219,27.30826,27.03561,26.77353,26.52133,26.2784,26.04421,25.8182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOAL491002300,0,AL,23,Choctaw,1,0,2,gulf_coast,4910,smackover alabama/florida peripheral fault zone oil and gas,11851,1491.113333,42.11269807,2.41,0,0,80,928,12,0,0,10,20,0.428,0.29,0.048,0.117,0.117,62.84655,57.61093,52.84678,49.17716,46.19399,43.69764,41.5698,39.73263,38.13072,36.72299,35.47763,34.36958,33.37867,32.48835,31.68497,30.95711,30.29515,29.69088,29.13737,28.62865,28.15964,27.72586,27.32353,26.94925,26.60008,26.27354,25.96735,25.67964,25.40851,25.15262,24.91038,24.68082,24.46277,24.25531,24.05745,23.86849,23.68787,23.51491,23.34885,23.18946,13.19514,12.55292,12.06245,11.66851,11.34113,11.06222,10.82002,10.60654,10.41606,10.24445,10.08852,9.94586,9.81448,9.6929,9.57981,9.47421,9.37525,9.28216,9.19437,9.11133,9.03261,8.95779,8.88656,8.81859,8.75362,8.6914,8.63181,8.57451,8.51946,8.46646,8.41538,8.36609,8.31849,8.27246,8.22793,8.1848,8.14298,8.10241,8.06303,8.02481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOAL491002500,0,AL,25,Clarke,1,0,2,gulf_coast,4910,smackover alabama/florida peripheral fault zone oil and gas,12043,1491.113333,42.11269807,2.41,0,0,110.5882353,9225.604685,84,0,0,10,2.352941176,0.410352941,0.268823529,0.100058824,0.075529412,0.146117647,52.59485,47.64046,43.74384,40.46024,37.59915,35.06093,32.78591,30.73432,28.87702,27.19142,25.65879,24.26333,22.99131,21.83084,20.77109,19.80277,18.91728,18.107,17.36509,16.68532,16.06214,15.4904,14.96553,14.4834,14.04024,13.63261,13.25735,12.9117,12.59304,12.29905,12.02761,11.77675,11.54474,11.32998,11.13095,10.94635,10.77502,10.61569,10.46754,10.32947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOAL491005300,0,AL,53,Escambia,1,0,2,gulf_coast,4910,smackover alabama/florida peripheral fault zone oil and gas,15641,1491.113333,42.11269807,2.41,1,0.05,80,464,6,0,0,10,20,0.428,0.29,0.048,0.117,0.117,17.8728,22.85518,11.38627,8.22724,6.72909,5.8352,5.23179,4.79247,4.45592,4.18843,3.96974,3.78691,3.6315,3.49734,3.3801,3.27657,3.18434,3.10145,3.0266,2.95845,2.89612,2.83883,2.78592,2.73691,2.69131,2.64878,2.60894,2.57155,2.53638,2.50323,2.47183,2.44211,2.41388,2.38707,2.36153,2.3372,2.3139,2.29161,2.2703,2.24983,1367.72879,1112.34689,971.69087,877.13296,799.01716,732.82855,676.42349,628.22089,586.93703,551.50495,521.03146,494.76573,472.07528,452.4264,435.36796,420.51836,407.55422,396.20146,386.22753,377.43489,369.65565,362.74698,356.58729,351.07293,346.11556,341.63983,337.58129,333.88487,330.50343,327.39662,324.52975,321.8732,319.40136,317.09224,314.92692,312.88904,310.96448,309.14104,307.4081,305.75642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOAL491009700,0,AL,97,Mobile,2,1,2,gulf_coast,4910,smackover alabama/florida peripheral fault zone oil and gas,18548,1491.113333,42.11269807,2.41,1,0.01,110.5882353,,,0,0,10,2.352941176,0.410352941,0.268823529,0.100058824,0.075529412,0.146117647,7.17313,3.32191,1.53839,0.71243,0.32993,0.15278,0.07076,0.03277,0.01518,0.00703,0.00326,0.00149,0.0007,0.00033,0.00015,8.00E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319.34859,274.08818,243.30487,220.65926,203.11894,189.02686,177.3914,167.57809,159.15995,151.83766,145.39444,139.66893,134.53834,129.90721,125.70027,121.85706,118.32852,115.0744,112.0612,109.26095,106.64987,104.20785,101.91755,99.7641,97.73453,95.81747,94.00306,92.28254,90.64816,89.09307,87.61109,86.19674,84.84512,83.55172,82.31258,81.124,79.98269,78.88562,77.83007,76.81352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOAL491102300,0,AL,23,Choctaw,1,0,2,gulf_coast,4911,smackover alabama/florida updip oil,,1368.02,42.11269807,2.41,0,0,80,928,12,0,0,10,20,0.428,0.29,0.048,0.117,0.117,7.2272,6.71654,6.35648,6.08237,5.86318,5.68185,5.52809,5.39511,5.2784,5.17466,5.0815,4.99712,4.92018,4.84952,4.78425,4.72377,4.66741,4.61468,4.56516,4.51862,4.47461,4.43298,4.39354,4.35597,4.32022,4.28608,4.25346,4.22218,4.19223,4.16342,4.13579,4.10915,4.08347,4.0587,4.03478,4.01167,3.98931,3.96762,3.94662,3.92624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOAL491103500,0,AL,35,Conecuh,1,0,2,gulf_coast,4911,smackover alabama/florida updip oil,12109.19,1282.76,42.11269807,2.41,0,0,80,1392,18,0,0,10,20,0.428,0.29,0.048,0.117,0.117,1385.51769,1268.74231,1090.61563,985.78556,906.40304,842.33534,789.17161,744.23538,705.69732,672.24253,642.89709,616.92393,593.75462,572.94419,554.13789,537.05116,521.45093,507.14549,493.97559,481.80691,470.52628,460.03679,450.25585,441.11171,432.54268,424.49392,416.91812,409.77374,403.02341,396.63453,390.5781,384.82769,379.35951,374.15317,369.18967,364.45148,359.92276,355.59016,351.4401,347.46107,2888.02934,2613.45693,2193.11687,1963.19729,1799.74515,1674.50778,1574.96171,1493.80815,1426.31598,1369.24862,1320.31294,1277.83932,1240.5842,1207.60179,1178.16166,1151.69068,1127.7316,1105.91725,1085.94866,1067.5792,1050.605,1034.85545,1020.18704,1006.47771,993.62343,981.53574,970.13704,959.3611,949.14992,939.45279,930.2251,921.42719,913.02486,904.98658,897.2854,889.89595,882.7969,875.96788,869.39069,863.04923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOAL491103900,0,AL,39,Covington,1,0,2,gulf_coast,4911,smackover alabama/florida updip oil,10791,1368.02,42.11269807,2.41,1,0.08,80,5568,70,0,0,10,20,0.428,0.29,0.048,0.117,0.117,3.037,2.74637,2.52149,2.34099,2.19215,2.06678,1.95938,1.86603,1.784,1.71122,1.64604,1.58728,1.53397,1.4853,1.44066,1.39953,1.36149,1.32614,1.29322,1.26247,1.23364,1.20656,1.18104,1.15698,1.13421,1.11262,1.09215,1.07267,1.0541,1.0364,1.01949,1.00335,0.98786,0.97301,0.9588,0.94511,0.93198,0.9193,0.90709,0.89532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOAL491105300,0,AL,53,Escambia,1,0,2,gulf_coast,4911,smackover alabama/florida updip oil,13103.38,1368.02,42.11269807,2.41,1,0.05,80,464,6,0,0,10,20,0.428,0.29,0.048,0.117,0.117,130.65571,116.72055,105.01748,96.06988,88.99801,83.26878,78.53235,74.5488,71.14815,68.20704,65.63417,63.3605,61.33343,59.51183,57.86358,56.36281,54.98885,53.72474,52.55672,51.47311,50.46417,49.52179,48.63897,47.80969,47.02881,46.29183,45.59482,44.9343,44.3073,43.71103,43.14303,42.60139,42.08384,41.58901,41.11509,40.66077,40.22471,39.8057,39.40272,39.01484,132.42735,94.99052,69.40596,55.61975,47.38607,42.06183,38.38367,35.69975,33.65196,32.0324,30.71359,29.6144,28.68045,27.87389,27.16791,26.54287,25.98386,25.47956,25.02127,24.60195,24.21609,23.85922,23.5276,23.2181,22.92835,22.65607,22.39944,22.15694,21.92726,21.70923,21.50169,21.30383,21.11503,20.9343,20.76121,20.59511,20.43559,20.28223,20.13449,19.99199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOAL491109900,0,AL,99,Monroe,1,0,2,gulf_coast,4911,smackover alabama/florida updip oil,15634,1368.02,42.11269807,2.41,0,0,110.5882353,7615.985675,69,0,0,10,2.352941176,0.410352941,0.268823529,0.100058824,0.075529412,0.146117647,21.06051,10.58309,5.96129,3.78967,2.58718,1.87231,1.42608,1.1356,0.93853,0.79942,0.69728,0.61957,0.5584,0.50893,0.46797,0.43336,0.4036,0.37773,0.35497,0.33475,0.3167,0.30042,0.28572,0.27226,0.26002,0.2488,0.23846,0.22893,0.2201,0.21188,0.20422,0.19709,0.19042,0.18416,0.17832,0.17275,0.16754,0.16262,0.15797,0.15355,2.54028,0.22961,0.02075,0.00188,0.00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
