state,state_tax_rate,sev_rate_crude_rev,sev_rate_natgas_rev,sev_rate_crude_prod,sev_rate_natgas_prod
AK,25,0,0,0.118,0
AL,5,6,6,0,0
AR,6,3.97,0,0.045,0.008
AZ,9,3.125,3.125,0,0
CA,9.3,2.7,2.7,0.050898,0.0044498
CO,5,3.15,3.1156,0.25,0.03
CT,11.5,5,5,0,0
DC,9.975,5,5,0,0
DE,8.7,5,5,0,0
FL,5.5,8,0,0,0.10763
GA,6,0,0,0,0
HI,0,5,5,0,0
IA,12,5,5,0,0
ID,8,2,2,0.005,0.0001
IL,7.2,0,0,0,0
IN,7.9,1,1,0.24,0.03
KS,6.75,0,8.003,0,0
KY,6,4.5,4.5,0,0
LA,8,6.25,0.59,0.1,0
MA,9.5,5,5,0,0
MD,7,5,5,0,0
ME,8.93,5,5,0,0
MI,2.3,5,6,0,0
MN,9.8,5,5,0,0
MO,5,5,5,0,0
MS,4,5.988,6,0.02,0.002
MT,6.75,10,14.2,0,0
NC,8.75,5,5,0,0
ND,7.5,5,5,0,0
NE,6.65,2.35,2.35,0,0
NH,8,5,5,0,0
NJ,9,5,5,0,0
NM,7.2,7.835,8.679,0,0
NV,0,5,0.05,0.05,0
NY,9,0,0,0,0
OH,8.9,0,0,0.1,0.02187
OK,6,7.095,7,0,0
OR,6.6,6,3.75,0,0
PA,11.99,0,0,0,0
RI,9,5,5,0,0
SC,5,5,5,0,0
SD,6,4.74,4.74,0,0
TN,6,3,3,0,0
TX,0,4.594,7.5,0.0101,0.00003
UT,5,0.2,0.2,0,0
VA,6,1.5,3,0,0
VT,8.25,5,5,0,0
WA,0,5,5,0,0
WI,7.9,7,7,0,0
WV,9,5,5,0,0
WY,0,2.1,6.06,0,0
OCS,5,0,0,0,0
