Notes: Butane Production (MBBL/D),,,,
ngpl_region_name,ngpl_region_number,ngpl_region_description,2025,2026,2027
US2,1,United States total,564.4739593,591.1853227,591.1853227
P12,2,PADD 1 (East Coast),79.7058137,83.47755714,83.47755714
EE2,3,East Coast subregion,0,0,0
AP2,4,Appalachian subregion (PADD 1),79.7058137,83.47755714,83.47755714
P22,5,PADD 2 (Midwest),172.4781542,180.6399597,180.6399597
2A2,6,PADD 2 subregion (Indiana/Illinois/Kentucky),23.5197483,24.63272178,24.63272178
2B2,7,PADD 2 subregion (Minnesota/Wisconsin/ND/SD),70.55924491,73.89816534,73.89816534
2C2,8,PADD 2 subregion (Oklahoma/Kansas/Missouri),78.39916101,82.1090726,82.1090726
P32,9,PADD 3 (Gulf Coast),219.5176508,229.9054033,229.9054033
3A2,10,PADD 3 subregion (Texas Inland),287.4635904,301.0665995,301.0665995
3B2,11,PADD 3 subregion (Texas Gulf Coast),-131.971921,-138.2169389,-138.2169389
3C2,12,PADD 3 subregion (Louisiana Gulf Coast),28.74635904,30.10665995,30.10665995
3D2,13,PADD 3 subregion (Northern Louisiana/Arkansas),3.919958051,4.10545363,4.10545363
3_E2,14,PADD 3 subregion (New Mexico),31.3596644,32.84362904,32.84362904
P42,15,PADD 4 (Rocky Mountain),82.31911906,86.21452623,86.21452623
P52,16,PADD 5 (West Coast including Alaska),11.75987415,12.31636089,12.31636089
