Notes: Ethane Production (MBBL/D),,,,
ngpl_region_name,ngpl_region_number,ngpl_region_description,2025,2026,2027
US2,1,United States total,3040.833333,3148.333333,3148.333333
P12,2,PADD 1 (East Coast),357.451704,370.0883907,370.0883907
EE2,3,East Coast subregion,0,0,0
AP2,4,Appalachian subregion (PADD 1),357.451704,370.0883907,370.0883907
P22,5,PADD 2 (Midwest),560.284764,580.0920357,580.0920357
2A2,6,PADD 2 subregion (Indiana/Illinois/Kentucky),81.4657372,84.34572626,84.34572626
2B2,7,PADD 2 subregion (Minnesota/Wisconsin/ND/SD),101.41653,105.0018225,105.0018225
2C2,8,PADD 2 subregion (Oklahoma/Kansas/Missouri),377.4024968,390.744487,390.744487
P32,9,PADD 3 (Gulf Coast),1936.889466,2005.362675,2005.362675
3A2,10,PADD 3 subregion (Texas Inland),1526.235648,1580.191361,1580.191361
3B2,11,PADD 3 subregion (Texas Gulf Coast),116.3796246,120.4938947,120.4938947
3C2,12,PADD 3 subregion (Louisiana Gulf Coast),123.0298888,127.3792601,127.3792601
3D2,13,PADD 3 subregion (Northern Louisiana/Arkansas),9.975396391,10.32804811,10.32804811
3_E2,14,PADD 3 subregion (New Mexico),161.2689083,166.9701112,166.9701112
P42,15,PADD 4 (Rocky Mountain),184.5448332,191.0688901,191.0688901
P52,16,PADD 5 (West Coast including Alaska),0,0,0
