Notes: Isobutane Production (MBBL/D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngpl_region_name,ngpl_region_number,ngpl_region_description,2025,2026,2027,,,,,,,,,,,,,,,,,,,,,,,,,633.0260407,40.88924186,0,40.88924186,95.40823102,25.74507821,22.71624548,46.94690733,433.1230805,187.7876293,196.8741275,19.68741275,3.028832731,25.74507821,48.46132369,16.65858002,634.5404571
US2,1,United States total,633.0260407,662.981344,641.836424,,,,,,,,,,,,,,,,,,,,,,,,,662.981344,42.8241538,0,42.8241538,99.92302553,26.96335609,23.79119655,49.16847288,453.6188143,196.6738915,206.1903701,20.61903701,3.172159541,26.96335609,50.75455265,17.44687747,664.5674237
P12,2,PADD 1 (East Coast),40.88924186,42.8241538,41.45833361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EE2,3,East Coast subregion,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,633.0260407,662.981344,,,,,,,,,,,,,,,
AP2,4,Appalachian subregion (PADD 1),40.88924186,42.8241538,41.45833361,,,,,,,,,,,,,,,,,,,,,,,,,40.88924186,42.8241538,,,,,,,,,,,,,,,
P22,5,PADD 2 (Midwest),95.40823102,99.92302553,96.73611175,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,
2A2,6,PADD 2 subregion (Indiana/Illinois/Kentucky),25.74507821,26.96335609,26.10339524,,,,,,,,,,,,,,,,,,,,,,,,,40.88924186,42.8241538,,,,,,,,,,,,,,,
2B2,7,PADD 2 subregion (Minnesota/Wisconsin/ND/SD),22.71624548,23.79119655,23.03240756,,,,,,,,,,,,,,,,,,,,,,,,,95.40823102,99.92302553,,,,,,,,,,,,,,,
2C2,8,PADD 2 subregion (Oklahoma/Kansas/Missouri),46.94690733,49.16847288,47.60030896,,,,,,,,,,,,,,,,,,,,,,,,,25.74507821,26.96335609,,,,,,,,,,,,,,,
P32,9,PADD 3 (Gulf Coast),433.1230805,453.6188143,439.1512375,,,,,,,,,,,,,,,,,,,,,,,,,22.71624548,23.79119655,,,,,,,,,,,,,,,
3A2,10,PADD 3 subregion (Texas Inland),187.7876293,196.6738915,190.4012358,,,,,,,,,,,,,,,,,,,,,,,,,46.94690733,49.16847288,,,,,,,,,,,,,,,
3B2,11,PADD 3 subregion (Texas Gulf Coast),196.8741275,206.1903701,199.6141989,,,,,,,,,,,,,,,,,,,,,,,,,433.1230805,453.6188143,,,,,,,,,,,,,,,
3C2,12,PADD 3 subregion (Louisiana Gulf Coast),19.68741275,20.61903701,19.96141989,,,,,,,,,,,,,,,,,,,,,,,,,187.7876293,196.6738915,,,,,,,,,,,,,,,
3D2,13,PADD 3 subregion (Northern Louisiana/Arkansas),3.028832731,3.172159541,3.070987675,,,,,,,,,,,,,,,,,,,,,,,,,196.8741275,206.1903701,,,,,,,,,,,,,,,
3_E2,14,PADD 3 subregion (New Mexico),25.74507821,26.96335609,26.10339524,,,,,,,,,,,,,,,,,,,,,,,,,19.68741275,20.61903701,,,,,,,,,,,,,,,
P42,15,PADD 4 (Rocky Mountain),48.46132369,50.75455265,49.1358028,,,,,,,,,,,,,,,,,,,,,,,,,3.028832731,3.172159541,,,,,,,,,,,,,,,
P52,16,PADD 5 (West Coast including Alaska),16.65858002,17.44687747,16.89043221,,,,,,,,,,,,,,,,,,,,,,,,,25.74507821,26.96335609,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.46132369,50.75455265,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.65858002,17.44687747,,,,,,,,,,,,,,,
