Notes: Pentanes Production (MBBL/D),,,,
ngpl_region_name,ngpl_region_number,ngpl_region_description,2025,2026,2027
US2,1,United States total,863.3333333,830.8333333,830.8333333
P12,2,PADD 1 (East Coast),85.24835428,82.03919808,82.03919808
EE2,3,East Coast subregion,0,0,0
AP2,4,Appalachian subregion (PADD 1),85.24835428,82.03919808,82.03919808
P22,5,PADD 2 (Midwest),187.5463794,180.4862358,180.4862358
2A2,6,PADD 2 subregion (Indiana/Illinois/Kentucky),20.14961101,19.39108318,19.39108318
2B2,7,PADD 2 subregion (Minnesota/Wisconsin/ND/SD),74.39856373,71.5978456,71.5978456
2C2,8,PADD 2 subregion (Oklahoma/Kansas/Missouri),92.99820467,89.497307,89.497307
P32,9,PADD 3 (Gulf Coast),443.2914423,426.60383,426.60383
3A2,10,PADD 3 subregion (Texas Inland),339.443447,326.6651706,326.6651706
3B2,11,PADD 3 subregion (Texas Gulf Coast),23.24955117,22.37432675,22.37432675
3C2,12,PADD 3 subregion (Louisiana Gulf Coast),30.99940156,29.83243567,29.83243567
3D2,13,PADD 3 subregion (Northern Louisiana/Arkansas),9.299820467,8.9497307,8.9497307
3_E2,14,PADD 3 subregion (New Mexico),40.29922202,38.78216637,38.78216637
P42,15,PADD 4 (Rocky Mountain),105.3979653,101.4302813,101.4302813
P52,16,PADD 5 (West Coast including Alaska),38.74925194,37.29054458,37.29054458
