Notes: Propane Production (MBBL/D),,,,
ngpl_region_name,ngpl_region_number,ngpl_region_description,2025,2026,2027
US2,1,United States total,2286.666667,2311.666667,2311.666667
P12,2,PADD 1 (East Coast),279.1776799,282.229914,282.229914
EE2,3,East Coast subregion,0,0,0
AP2,4,Appalachian subregion (PADD 1),279.1776799,282.229914,282.229914
P22,5,PADD 2 (Midwest),541.0866373,547.0023075,547.0023075
2A2,6,PADD 2 subregion (Indiana/Illinois/Kentucky),112.246696,113.4738829,113.4738829
2B2,7,PADD 2 subregion (Minnesota/Wisconsin/ND/SD),174.1262849,176.0299979,176.0299979
2C2,8,PADD 2 subregion (Oklahoma/Kansas/Missouri),254.7136564,257.4984267,257.4984267
P32,9,PADD 3 (Gulf Coast),1221.762115,1235.119572,1235.119572
3A2,10,PADD 3 subregion (Texas Inland),936.8281938,947.0704846,947.0704846
3B2,11,PADD 3 subregion (Texas Gulf Coast),73.39207048,74.19446193,74.19446193
3C2,12,PADD 3 subregion (Louisiana Gulf Coast),93.53891336,94.56156912,94.56156912
3D2,13,PADD 3 subregion (Northern Louisiana/Arkansas),8.634361233,8.728760227,8.728760227
3_E2,14,PADD 3 subregion (New Mexico),109.3685756,110.5642962,110.5642962
P42,15,PADD 4 (Rocky Mountain),233.1277533,235.6765261,235.6765261
P52,16,PADD 5 (West Coast including Alaska),12.95154185,13.09314034,13.09314034
