Notes: NGPL Production (MBBL/D),,,,
ngpl_region_name,ngpl_region_number,ngpl_region_description,2025,2026,2027
US2,1,United States total,7388.333333,7545,7545
P12,2,PADD 1 (East Coast),842.4727937,860.6592138,860.6592138
EE2,3,East Coast subregion,0,0,0
AP2,4,Appalachian subregion (PADD 1),842.4727937,860.6592138,860.6592138
P22,5,PADD 2 (Midwest),1556.804166,1588.143564,1588.143564
2A2,6,PADD 2 subregion (Indiana/Illinois/Kentucky),263.1268708,268.8067703,268.8067703
2B2,7,PADD 2 subregion (Minnesota/Wisconsin/ND/SD),443.216869,450.3190279,450.3190279
2C2,8,PADD 2 subregion (Oklahoma/Kansas/Missouri),850.4604262,869.0177661,869.0177661
P32,9,PADD 3 (Gulf Coast),4254.583754,4350.610295,4350.610295
3A2,10,PADD 3 subregion (Texas Inland),3277.758508,3351.667508,3351.667508
3B2,11,PADD 3 subregion (Texas Gulf Coast),277.9234527,285.0361146,285.0361146
3C2,12,PADD 3 subregion (Louisiana Gulf Coast),296.0019755,302.4989618,302.4989618
3D2,13,PADD 3 subregion (Northern Louisiana/Arkansas),34.85836887,35.28415221,35.28415221
3_E2,14,PADD 3 subregion (New Mexico),368.0414486,376.1235589,376.1235589
P42,15,PADD 4 (Rocky Mountain),653.8509946,665.1447764,665.1447764
P52,16,PADD 5 (West Coast including Alaska),80.11924797,80.14692329,80.14692329
