Notes,
district_number,2024
1,2.123709917
2,0.00153
3,0
4,0
5,0.847507238
6,36.3400383
7,425.2597656
8,0
9,0
10,0
11,3.187995195
12,0
13,0
14,0
15,0
16,0
17,0
18,0.963240385
19,0.961545706
20,2.680699587
21,11.35589981
22,0
23,0
24,0
25,1.686036706
26,0
27,2.889060259
28,0.076820001
29,0
30,27.01955795
31,0.207430005
32,0.028376466
33,0
34,0
35,2414.759277
36,9.314191818
37,0
38,0
39,887.5873413
40,0
41,148.1653442
42,0
43,0
44,0
45,0
46,0
47,0
48,351.4120789
49,248.2899933
50,216.884613
51,273.4429626
52,11.26636219
53,70.10029602
54,3.876394033
55,369.9839783
56,3688.081543
57,95.57736206
58,26.06520844
59,12.81620979
60,22.72437477
61,0
62,0
63,0
64,0
65,0
66,49.28104401
67,0
68,0
69,0
70,0.01125
71,4.457499981
72,0.108750001
73,7.677391529
74,0
75,0
76,0
77,0
78,0
79,0
80,599.9597778
81,80.9859314
82,5.963122845
83,0
84,0
