Notes,
district_number,2024
1,48.624681
2,2.937782764
3,0
4,0
5,335.4244074
6,51.50804901
7,1330.99824
8,0
9,0
10,0
11,7.033466816
12,0
13,0
14,0
15,1.482818842
16,2.984336376
17,0
18,67.76701593
19,4.7642169
20,4297.044788
21,146.7934703
22,0
23,0
24,0
25,18.02004766
26,0
27,13.30507631
28,3.90028435
29,0
30,18.39459133
31,0
32,0
33,0
34,0
35,147.8368628
36,643.5589221
37,6.440017268
38,0
39,4.826899469
40,2085.516111
41,2379.713631
42,0
43,7359.016129
44,0
45,0
46,0
47,2.972744465
48,250.4294009
49,173.6430698
50,123.4526347
51,1043.134222
52,551.1015151
53,1728.612392
54,59.05427785
55,156.0385452
56,186.0218277
57,1.438452035
58,250.5899372
59,247.0284271
60,324.7531977
61,0
62,39.2817063
63,0
64,2165.359053
65,0
66,1454.14325
67,0
68,0
69,0
70,7.27924633
71,3.616406679
72,0.438103706
73,0.688087702
74,0
75,0
76,0
77,0
78,0
79,0
80,166.9933777
81,51.92556381
82,1.890224099
83,0
84,0
