variable,dimension,index_0,index_1,index_2,TYPE,UNITS,FUEL,SECTOR,description
qmore_qngpin,2,mnumcr,mnumyr,,qnty,tbtu,el,nan,natural gas processing plant electricity consumption
pmmout_rfqdcrd,2,mnumor_2,mnumyr,,qnty,mmbd,nan,refine,domestic total crude mmbbl/yr/ogsm
pmmout_dcrdwhp,2,mnumor,mnumyr,,price,87$bbl,nan,refine,domestic crude wellhead price
pmmout_rfqtdcrd,2,mnumor_2,mnumyr,,qnty,mmbd,nan,refine,domestic total crude (incl eor) mmbbl/yr/ogsm
ogsmout_ogprdad,2,mnl48a,mnumyr,,qnty,bcf/yr,nan,nan,associated dissolved gas prod
ogsmout_ogpcrwhp,1,mnumyr,,,qnty,87$bbl,nan,nan,crude avg wellhead price
ogsmout_ogqcrrep,2,nogcro,mnumyr,,qnty,mmbbl,nan,nan,crude production by oil cat
ogsmout_ogpngwhp,1,mnumyr,,,qnty,87$mcf,nan,nan,ng avg wellhead price
ogsmout_ogqngrep,2,nogcat,mnumyr,,qnty,bcf/yr,nan,nan,ng production by gas cat
ogsmout_ognowell,1,mnumyr,,,qnty,scalar,nan,nan,"total completed wells (successful + dryholes + exploratory) across all districts, regions, and well types"
ogsmout_ogtechon,3,3,6,mnumyr,qnty,scalar,nan,nan,tech factors by costcat/fuel/year
ogsmout_cnenagprd,2,numcan,mnumyr,,qnty,mmcf,ng,oilgas,expected canada nonassociated gas production
ogsmout_cnadgprd,2,numcan,mnumyr,,qnty,mmcf,ng,oilgas,associated-dissolved canada gas production
ogsmout_ogcnpprd,2,numcan,mnumyr,,qnty,scalar,nan,nan,canada wellhead price
ogsmout_ogcoprd,2,mnl48t,mnumyr,,qnty,mmbd,nan,nan,crude production by Lower 48 region
ogsmout_ogcowhp,2,mnl48t,mnumyr,,price,87$bbl,nan,nan,crude wellhead price by oil category
ogsmout_ogngprd,2,mnl48t,mnumyr,,qnty,bcf/yr,nan,nan,ng production by gas category
ogsmout_ogngwhp,2,mnl48t,mnumyr,,price,87$mcf,nan,nan,ng wellhead  price by gas category
ogsmout_ogjobs,1,mnumyr,,,level,scalar,nan,nan,number of jobs in oil and gas supply sector
ogsmout_ogprdadof,2,mnl48f,mnumyr,,qnty,bcf/yr,nan,nan,offshore ad gas production
ogsmout_ognglak,1,mnumyr,,,qnty,mbcd,nan,nan,ngl from alaska (thousand bbl / day)
ogsmout_ogprcexp,1,mnumyr,,,level,scalar,nan,nan,adjust last yrs price to reflect diff expectation
ogsmout_oggrowfac,1,mnumyr,,,level,scalar,nan,nan,factor reflects expected future cons growth
