ogdist,Description
1,Alabama North
2,Alabama South
3,Alaska
4,Arizona
5,Arkansas
6,California
7,Colorado
8,Connecticut
9,Delaware
10,Washington DC
11,Florida
12,Georgia
13,Hawaii
14,Idaho
15,Illinois
16,Indiana
17,Iowa
18,Kansas
19,Kentucky
20,Louisiana North
21,Louisiana South
22,Maine
23,Maryland
24,Massachusetts
25,Michigan
26,Minnesota
27,Mississippi North
28,Mississippi South
29,Missouri
30,Montana
31,Nebraska
32,Nevada
33,New Hampshire
34,New Jersey
35,New Mexico East
36,New Mexico West
37,New York
38,North Carolina
39,North Dakota
40,Ohio
41,Oklahoma
42,Oregon
43,Pennsylvania
44,Rhode Island
45,South Carolina
46,South Dakota
47,Tennessee
48,Texas RRC 1
49,Texas RRC 2
50,Texas RRC 3
51,Texas RRC 4
52,Texas RRC 5
53,Texas RRC 6
54,Texas RRC 7B
55,Texas RRC 7C
56,Texas RRC 8
57,Texas RRC 8A
58,Texas RRC 9
59,Texas RRC 10
60,Utah
61,Vermont
62,Virginia
63,Washington
64,West Virginia
65,Wisconsin
66,Wyoming
67,North Atlantic State Offshore
68,Mid Atlantic State Offshore
69,South Atlantic State Offshore
70,Alabama State Offshore
71,Louisiana State Offshore
72,Texas State Offshore
73,California State Offshore
74,Northern Pacific State Offshore
75,Alaska State Offshore
76,North Atlantic Federal Offshore
77,Mid Atlantic Federal Offshore
78,South Atlantic Federal Offshore
79,Eastern GOM Federal Offshore
80,Central GOM Federal Offshore
81,Western GOM Federal Offshore
82,California Federal Offshore
83,Northern Pacific Federal Offshore
84,Alaska Federal Offshore
