Composite table:
    reg         reg1          PipeFuelLossFactorIN  PipeFuelLossFactorOUT
!   ----------  ----------    --------------------  ---------------------
    AL          FL                       1.176e-02              2.760e-03
    AL          GA                       3.256e-03              2.760e-03
    AL          MS                       2.249e-03              2.760e-03
    AL          TN                       1.988e-03              2.760e-03
    AZ          CA                                              5.669e-03
    AZ          AZ-MX_NW                                        5.669e-03
    AR          LA                       6.124e-03              2.195e-03
    AR          MS                       2.249e-03              2.195e-03
    AR          MO                       2.727e-03              2.195e-03
    CA          AZ                       5.669e-03
    CA          NV                       1.819e-03
    CO          KS                       5.793e-03              2.675e-03
    CO          NE                       2.163e-03              2.675e-03
    CO          NM                       3.004e-03              2.675e-03
    CO          OK                       9.274e-03              2.675e-03
    CO          UT                       3.859e-03              2.675e-03
    CO          WY                       3.456e-03              2.675e-03
    CT          NY                       3.611e-03              4.386e-03
    CT          RI                       1.911e-03              4.386e-03
    GA          FL                       1.176e-02              3.256e-03
    GA          SC                       1.999e-03              3.256e-03
    GA          TN                       1.988e-03              3.256e-03
    ID          NV                       1.819e-03              3.349e-03
    ID          OR                       5.975e-04              7.603e-04
    ID          WA                       5.480e-03              3.349e-03
    IL          IN                       1.565e-03              1.813e-03
    IL          MO                       2.727e-03              1.813e-03
    IL          WI                       1.346e-03              1.813e-03
    IN          IL                       1.813e-03              1.565e-03
    IN          KY                       1.357e-03              1.342e-03
    IN          MI                       4.111e-03              1.565e-03
    IN          OH                       3.845e-03              1.565e-03
    IA          IL                       1.813e-03              2.408e-03
    IA          MN                       3.116e-03              2.408e-03
    IA          MO                       1.370e-03              1.057e-03
    IA          SD                       3.730e-03              2.408e-03
    KS          CO                       2.675e-03              5.793e-03
    KS          MO                       2.727e-03              5.793e-03
    KS          NE                       2.163e-03              5.793e-03
    KS          OK                       9.274e-03              5.793e-03
    KY          IL                       1.330e-03              1.134e-03
    KY          IN                       1.565e-03              1.799e-03
    KY          OH                       3.845e-03              1.799e-03
    KY          TN                       1.988e-03              1.799e-03
    KY          VA                       4.570e-03              1.799e-03
    KY          WV                       2.454e-03              4.428e-04
    LA          AR                       2.195e-03              6.124e-03
    LA          MS                       2.249e-03              6.124e-03
    LA          TX                       1.936e-02              6.124e-03
    LA          TX_E                     1.261e-02              6.124e-03
    ME          NH                       3.485e-04              3.190e-03
