Composite table:
    qph         qph1        pqtype  step     VariableTariffCurve
!   ----------  ----------  ------  -----    -------------------
    AL          FL          q       step2              6.000e-01
    AL          FL          q       step3              8.500e-01
    AL          FL          q       step4              1.000e+00
    AL          FL          q       step5              1.400e+00
    AL          FL          p       step1             -2.804e-02
    AL          FL          p       step2              7.196e-02
    AL          FL          p       step3              1.720e-01
    AL          FL          p       step4              1.472e+00
    AL          FL          p       step5              3.000e+00
    AL          GA          q       step2              4.000e-01
    AL          GA          q       step3              7.000e-01
    AL          GA          q       step4              1.000e+00
    AL          GA          q       step5              1.400e+00
    AL          GA          p       step1             -1.381e-01
    AL          GA          p       step2             -8.811e-02
    AL          GA          p       step3              2.619e-01
    AL          GA          p       step4              6.619e-01
    AL          GA          p       step5              1.200e+00
    AL          MS          q       step2              4.500e-01
    AL          MS          q       step3              8.000e-01
    AL          MS          q       step4              1.000e+00
    AL          MS          q       step5              1.400e+00
    AL          MS          p       step1              6.647e-04
    AL          MS          p       step2              3.066e-02
    AL          MS          p       step3              6.066e-02
    AL          MS          p       step4              1.207e-01
    AL          MS          p       step5              2.400e-01
    AL          TN          q       step2              6.000e-01
    AL          TN          q       step3              8.000e-01
    AL          TN          q       step4              1.000e+00
    AL          TN          q       step5              1.400e+00
    AL          TN          p       step1              3.026e-02
    AL          TN          p       step2              5.026e-02
    AL          TN          p       step3              8.026e-02
    AL          TN          p       step4              1.303e-01
    AL          TN          p       step5              2.800e-01
    AZ          CA          q       step2              6.000e-01
    AZ          CA          q       step3              8.000e-01
    AZ          CA          q       step4              1.000e+00
    AZ          CA          q       step5              1.400e+00
    AZ          CA          p       step1              5.956e-01
    AZ          CA          p       step2              7.456e-01
    AZ          CA          p       step3              8.956e-01
    AZ          CA          p       step4              1.196e+00
    AZ          CA          p       step5              1.200e+00
    AZ          NV          q       step2              6.000e-01
    AZ          NV          q       step3              8.000e-01
    AZ          NV          q       step4              1.000e+00
    AZ          NV          q       step5              1.400e+00
    AZ          NV          p       step2              1.000e-01
    AZ          NV          p       step3              5.000e-01
    AZ          NV          p       step4              1.000e+00
    AZ          NV          p       step5              2.000e+00
    AZ          AZ-MX_NW    q       step2              2.000e-01
    AZ          AZ-MX_NW    q       step3              8.000e-01
    AZ          AZ-MX_NW    q       step4              1.000e+00
    AZ          AZ-MX_NW    q       step5              1.400e+00
    AZ          AZ-MX_NW    p       step1              1.353e+00
    AZ          AZ-MX_NW    p       step2              1.383e+00
    AZ          AZ-MX_NW    p       step3              1.403e+00
    AZ          AZ-MX_NW    p       step4              1.453e+00
    AZ          AZ-MX_NW    p       step5              2.000e-01
    AR          LA          q       step2              6.000e-01
    AR          LA          q       step3              8.000e-01
    AR          LA          q       step4              1.000e+00
    AR          LA          q       step5              1.400e+00
    AR          LA          p       step1             -5.637e-02
    AR          LA          p       step2             -3.637e-02
    AR          LA          p       step3              9.363e-02
