Composite table:
    mon                suptype    mx       HistoricalProductionPemex
!   -----------------  ---------  -----    -------------------------
    'January, 2000'    NA         MX_NE                       31.517
    'January, 2000'    NA         MX_SS                        5.131
    'January, 2000'    AD         MX_SS                       47.564
    'February, 2000'   NA         MX_NE                       29.396
    'February, 2000'   NA         MX_SS                        5.012
    'February, 2000'   AD         MX_SS                       44.986
    'March, 2000'      NA         MX_NE                       31.338
    'March, 2000'      NA         MX_SS                        5.323
    'March, 2000'      AD         MX_SS                       46.881
    'April, 2000'      NA         MX_NE                       27.209
    'April, 2000'      NA         MX_SS                        4.636
    'April, 2000'      AD         MX_SS                       43.948
    'May, 2000'        NA         MX_NE                       31.056
    'May, 2000'        NA         MX_SS                        4.928
    'May, 2000'        AD         MX_SS                       45.641
    'June, 2000'       NA         MX_NE                       30.313
    'June, 2000'       NA         MX_SS                        4.854
    'June, 2000'       AD         MX_SS                       47.022
    'July, 2000'       NA         MX_NE                       31.556
    'July, 2000'       NA         MX_SS                        4.936
    'July, 2000'       AD         MX_SS                       45.887
    'August, 2000'     NA         MX_NE                       31.380
    'August, 2000'     NA         MX_SS                        4.942
    'August, 2000'     AD         MX_SS                       48.110
    'September, 2000'  NA         MX_NE                       30.135
    'September, 2000'  NA         MX_SS                        4.646
    'September, 2000'  AD         MX_SS                       49.949
    'October, 2000'    NA         MX_NE                       31.350
    'October, 2000'    NA         MX_SS                        5.051
    'October, 2000'    AD         MX_SS                       46.952
    'November, 2000'   NA         MX_NE                       30.487
    'November, 2000'   NA         MX_SS                        4.795
    'November, 2000'   AD         MX_SS                       46.010
    'December, 2000'   NA         MX_NE                       31.406
    'December, 2000'   NA         MX_SS                        5.006
    'December, 2000'   AD         MX_SS                       51.657
    'January, 2001'    NA         MX_NE                       31.039
    'January, 2001'    NA         MX_SS                        5.115
    'January, 2001'    AD         MX_SS                       53.242
    'February, 2001'   NA         MX_NE                       28.124
    'February, 2001'   NA         MX_SS                        3.599
    'February, 2001'   AD         MX_SS                       46.432
    'March, 2001'      NA         MX_NE                       31.289
    'March, 2001'      NA         MX_SS                        5.007
    'March, 2001'      AD         MX_SS                       50.861
    'April, 2001'      NA         MX_NE                       29.977
