Composite table:
    datamon            reg           HistoricalSpotPrice
!   -----------------  ----------    -------------------
    'January, 2013'    AL                          3.342
    'January, 2013'    AZ                          3.485
    'January, 2013'    AR                          3.296
    'January, 2013'    CA                          3.645
    'January, 2013'    CO                          3.327
    'January, 2013'    CT                         10.427
    'January, 2013'    DC                          3.904
    'January, 2013'    DE                          4.768
    'January, 2013'    FL                          4.732
    'January, 2013'    GA                          3.714
    'January, 2013'    ID                          3.383
    'January, 2013'    IL                          3.478
    'January, 2013'    IN                          3.470
    'January, 2013'    IA                          3.476
    'January, 2013'    KS                          3.279
    'January, 2013'    KY                          3.363
    'January, 2013'    LA                          3.319
    'January, 2013'    ME                         12.501
    'January, 2013'    MD                          3.904
    'January, 2013'    MA                         11.641
    'January, 2013'    MI                          3.499
    'January, 2013'    MN                          3.582
    'January, 2013'    MS                          3.331
    'January, 2013'    MO                          3.356
    'January, 2013'    MT                          3.232
    'January, 2013'    NE                          3.369
    'January, 2013'    NV                          3.447
    'January, 2013'    NH                         12.208
    'January, 2013'    NJ                          4.758
    'January, 2013'    NM                          3.320
    'January, 2013'    NY                          8.724
    'January, 2013'    NC                          3.904
    'January, 2013'    ND                          3.507
    'January, 2013'    OH                          3.399
    'January, 2013'    OK                          3.269
    'January, 2013'    OR                          3.446
    'January, 2013'    PA                          3.716
    'January, 2013'    RI                         10.804
    'January, 2013'    SC                          3.901
    'January, 2013'    SD                          3.507
    'January, 2013'    TN                          3.320
    'January, 2013'    TX                          3.285
    'January, 2013'    UT                          3.349
    'January, 2013'    VT                          7.854
    'January, 2013'    VA                          3.860
    'January, 2013'    WA                          3.466
    'January, 2013'    WV                          3.306
    'January, 2013'    WI                          3.599
    'January, 2013'    WY                          3.349
    'January, 2013'    TX_W                        3.303
    'January, 2013'    TX_N                        3.282
    'January, 2013'    TX_E                        3.269
    'January, 2013'    NH-CN_E                     7.854
    'January, 2013'    VT-CN_E                     7.854
    'January, 2013'    NY-CN_E                     7.854
    'January, 2013'    MI-CN_E                     3.540
    'January, 2013'    MN-CN_W                     3.690
    'January, 2013'    ND-CN_W                     3.108
    'January, 2013'    MT-CN_W                     3.108
    'January, 2013'    ID-CN_W                     3.341
    'January, 2013'    WA-CN_W                     3.608
