!Totals in MMBtu/yr
COMPOSITE TABLE:
proj_id	reg	rng_produced    lcoe	cumulative_sum	proj_st
1	CA	3596.871	9.337	3.597		CA
2	NY	2553.961	9.835	6.151		NY
3	TX	2497.711	9.873	8.649		TX
4	CA	2326.553	10.002	10.975		CA
5	RI	2278.440	10.042	13.254		RI
6	FL	2133.989	10.172	15.388		FL
7	CA	2122.009	10.184	17.510		CA
8	MI	2119.076	10.186	19.629		MI
9	TX	2103.422	10.202	21.732		TX
10	TX	2085.913	10.219	23.818		TX
11	PA	2069.742	10.236	25.888		PA
12	CA	2056.868	10.249	27.945		CA
13	MI	2024.451	10.283	29.969		MI
14	OH	1957.264	10.357	31.926		OH
15	WA	1920.404	10.400	33.847		WA
16	IL	1905.302	10.418	35.752		IL
17	OH	1893.407	10.433	37.645		OH
18	VA	1778.461	10.582	39.424		VA
19	OR	1770.701	10.593	41.195		OR
20	OH	1765.221	10.601	42.960		OH
21	KS	1697.607	10.700	44.657		KS
22	WA	1607.521	10.844	46.265		WA
23	CA	1594.702	10.865	47.860		CA
24	NY	1573.838	10.888	49.433		NY
25	IL	1558.181	10.906	50.992		IL
26	TX	1468.410	11.014	52.460		TX
27	NH	1463.893	11.019	53.924		NH
28	TX	1433.877	11.059	55.358		TX
29	OH	1419.637	11.078	56.777		OH
30	PA	1408.921	11.093	58.186		PA
31	WI	1396.968	11.110	59.583		WI
32	FL	1393.310	11.115	60.977		FL
33	CA	1382.124	11.131	62.359		CA
34	CA	1381.759	11.131	63.741		CA
35	TX	1347.615	11.182	65.088		TX
36	MO	1326.678	11.214	66.415		MO
37	MI	1323.155	11.220	67.738		MI
38	TX	1292.857	11.268	69.031		TX
39	IL	1277.892	11.293	70.309		IL
40	PA	1267.625	11.311	71.576		PA
41	IN	1227.365	11.382	72.804		IN
42	TX	1216.428	11.402	74.020		TX
43	CA	1208.578	11.417	75.229		CA
44	PA	1174.478	11.483	76.403		PA
45	IL	1163.307	11.506	77.566		IL
46	GA	1130.569	11.574	78.697		GA
47	NY	1101.506	11.639	79.799		NY
48	IN	1097.932	11.647	80.896		IN
49	IN	1096.660	11.650	81.993		IN
50	NJ	1084.942	11.677	83.078		NJ
51	NJ	1080.883	11.686	84.159		NJ
52	TN	1076.503	11.697	85.235		TN
53	IL	1071.048	11.710	86.307		IL
54	CA	1055.819	11.747	87.362		CA
55	VA	1030.555	11.811	88.393		VA
56	PA	1026.755	11.821	89.420		PA
57	NC	1025.398	11.824	90.445		NC
58	IN	1017.313	11.846	91.462		IN
59	VA	1016.359	11.848	92.479		VA
60	GA	1011.041	11.863	93.490		GA
61	KY	1008.166	11.870	94.498		KY
62	CA	1007.206	11.873	95.505		CA
63	MI	1002.181	11.887	96.507		MI
64	LA	1001.575	11.888	97.509		LA
65	MI	991.366		11.917	98.500		MI
66	CA	960.934		12.005	99.461		CA
67	MI	957.187		12.016	100.418		MI
68	FL	946.164		12.049	101.365		FL
69	TN	940.870		12.066	102.305		TN
70	CA	928.688		12.104	103.234		CA
71	PA	921.967		12.126	104.156		PA
72	CA	912.097		12.158	105.068		CA
73	IA	911.566		12.160	105.980		IA
74	TX	901.231		12.195	106.881		TX
75	TX	897.829		12.206	107.779		TX
76	PA	895.268		12.215	108.674		PA
77	VA	878.910		12.272	109.553		VA
78	IL	864.511		12.325	110.417		IL
79	IL	864.341		12.325	111.282		IL
80	PA	848.841		12.383	112.131		PA
81	CA	845.335		12.397	112.976		CA
82	CA	843.539		12.404	113.820		CA
83	VA	824.592		12.479	114.644		VA
84	MI	818.173		12.505	115.462		MI
85	NE	813.551		12.524	116.276		NE
86	NY	803.261		12.568	117.079		NY
87	GA	797.158		12.594	117.876		GA
88	IL	794.434		12.606	118.671		IL
89	AR	777.311		12.682	119.448		AR
90	IN	768.988		12.720	120.217		IN
91	PA	766.648		12.731	120.984		PA
92	CA	765.946		12.735	121.750		CA
93	OK	765.767		12.736	122.515		OK
94	GA	752.423		12.799	123.268		GA
95	DE	749.971		12.811	124.018		DE
96	VA	749.503		12.814	124.767		VA
97	MI	748.641		12.818	125.516		MI
98	IL	745.013		12.836	126.261		IL
99	NY	744.855		12.837	127.006		NY
100	FL	737.871		12.872	127.744		FL
101	PA	729.778		12.913	128.473		PA
102	PA	727.910		12.923	129.201		PA
103	NE	723.614		12.945	129.925		NE
104	OK	716.122		12.985	130.641		OK
105	VA	713.402		13.000	131.354		VA
106	MA	704.848		13.047	132.059		MA
107	PA	703.241		13.055	132.763		PA
108	WI	687.965		13.142	133.451		WI
109	SC	679.043		13.195	134.130		SC
110	NV	661.866		13.300	134.791		NV
111	OR	660.641		13.308	135.452		OR
112	MD	653.313		13.355	136.105		MD
113	NV	651.622		13.366	136.757		NV
114	OH	651.207		13.369	137.408		OH
115	TX	650.957		13.370	138.059		TX
116	IN	650.118		13.376	138.709		IN
117	SC	649.293		13.381	139.359		SC
118	NC	648.729		13.385	140.007		NC
119	VT	646.885		13.397	140.654		VT
120	OH	646.603		13.399	141.301		OH
121	NC	636.195		13.468	141.937		NC
122	NC	636.116		13.469	142.573		NC
123	MI	634.352		13.481	143.207		MI
124	MO	633.615		13.486	143.841		MO
125	CA	629.379		13.515	144.470		CA
126	OH	627.103		13.531	145.098		OH
127	TX	615.910		13.611	145.713		TX
128	CA	605.636		13.687	146.319		CA
129	TX	602.726		13.709	146.922		TX
130	IL	602.637		13.710	147.524		IL
131	NH	602.491		13.711	148.127		NH
132	AK	599.692		13.732	148.727		AK
133	NY	595.109		13.767	149.322		NY
134	OH	592.332		13.789	149.914		OH
135	FL	592.322		13.789	150.506		FL
136	NC	591.740		13.794	151.098		NC
137	CO	584.920		13.848	151.683		CO
138	SC	582.696		13.866	152.266		SC
139	TX	582.132		13.871	152.848		TX
140	CA	577.995		13.905	153.426		CA
141	VA	577.710		13.907	154.004		VA
142	WA	577.478		13.909	154.581		WA
143	TN	575.865		13.922	155.157		TN
144	PA	574.016		13.938	155.731		PA
145	MI	573.388		13.943	156.304		MI
146	WI	571.291		13.961	156.876		WI
147	VA	570.743		13.965	157.446		VA
148	TX	570.723		13.965	158.017		TX
149	NY	570.172		13.970	158.587		NY
150	TX	567.508		13.993	159.155		TX
151	MN	566.700		14.000	159.722		MN
152	GA	565.564		14.009	160.287		GA
153	NJ	560.825		14.051	160.848		NJ
154	MI	560.263		14.055	161.408		MI
155	WI	551.217		14.136	161.959		WI
156	MI	547.943		14.166	162.507		MI
157	FL	547.007		14.175	163.054		FL
158	TX	546.760		14.177	163.601		TX
159	CA	542.476		14.217	164.144		CA
160	CA	540.184		14.238	164.684		CA
161	TX	535.852		14.280	165.220		TX
162	TX	535.358		14.284	165.755		TX
163	MN	530.392		14.332	166.285		MN
164	MO	526.936		14.367	166.812		MO
165	VA	523.026		14.406	167.335		VA
166	MO	520.141		14.435	167.855		MO
167	NJ	519.852		14.438	168.375		NJ
168	KS	517.306		14.464	168.893		KS
169	WI	516.598		14.471	169.409		WI
170	MI	513.227		14.506	169.922		MI
171	IL	509.160		14.549	170.432		IL
172	MI	509.071		14.550	170.941		MI
173	UT	508.529		14.556	171.449		UT
174	CA	503.798		14.607	171.953		CA
175	FL	501.160		14.635	172.454		FL
176	OK	496.794		14.684	172.951		OK
177	GA	494.668		14.708	173.446		GA
178	PA	493.339		14.723	173.939		PA
179	OH	492.570		14.731	174.432		OH
180	MA	491.928		14.739	174.923		MA
181	TX	490.893		14.750	175.414		TX
182	PA	483.600		14.835	175.898		PA
183	KS	482.989		14.842	176.381		KS
184	GA	482.084		14.853	176.863		GA
185	CA	481.889		14.855	177.345		CA
186	FL	477.027		14.914	177.822		FL
187	IN	476.660		14.918	178.299		IN
188	VA	476.205		14.924	178.775		VA
189	MI	469.366		15.008	179.244		MI
190	MI	463.818		15.078	179.708		MI
191	LA	462.216		15.099	180.170		LA
192	KY	461.607		15.107	180.632		KY
193	TX	461.301		15.111	181.093		TX
194	NC	459.384		15.136	181.552		NC
195	WI	453.442		15.214	182.006		WI
196	FL	450.361		15.256	182.456		FL
197	PA	444.348		15.338	182.901		PA
198	OR	444.261		15.340	183.345		OR
199	NY	441.205		15.383	183.786		NY
200	SC	441.190		15.383	184.227		SC
201	CA	440.109		15.398	184.667		CA
202	LA	439.465		15.407	185.107		LA
203	TX	433.816		15.489	185.541		TX
204	OR	433.130		15.499	185.974		OR
205	FL	431.863		15.518	186.406		FL
206	ID	431.061		15.530	186.837		ID
207	PA	428.347		15.570	187.265		PA
208	FL	424.973		15.621	187.690		FL
209	AL	421.331		15.677	188.111		AL
210	MO	419.212		15.710	188.531		MO
211	OK	418.834		15.716	188.949		OK
212	NJ	415.894		15.763	189.365		NJ
213	NY	413.178		15.806	189.779		NY
214	WI	412.849		15.812	190.191		WI
215	TN	412.846		15.812	190.604		TN
216	OH	409.300		15.870	191.014		OH
217	PA	407.444		15.900	191.421		PA
218	TN	406.516		15.916	191.827		TN
219	NY	406.459		15.917	192.234		NY
220	OH	405.532		15.932	192.639		OH
221	WI	404.798		15.944	193.044		WI
222	CA	401.628		15.998	193.446		CA
223	FL	401.379		16.002	193.847		FL
224	PA	400.990		16.009	194.248		PA
225	CA	400.801		16.012	194.649		CA
226	CA	400.679		16.014	195.050		CA
227	UT	399.912		16.028	195.450		UT
228	IL	399.841		16.029	195.849		IL
229	PA	396.481		16.087	196.246		PA
230	IN	395.633		16.102	196.642		IN
231	CA	395.233		16.109	197.037		CA
232	AL	394.522		16.122	197.431		AL
233	GA	394.297		16.126	197.826		GA
234	NH	393.931		16.132	198.220		NH
235	IL	392.767		16.153	198.612		IL
236	LA	392.656		16.155	199.005		LA
237	CA	392.218		16.163	199.397		CA
238	NC	391.974		16.167	199.789		NC
239	WI	389.897		16.205	200.179		WI
240	UT	389.604		16.210	200.569		UT
241	GA	388.033		16.239	200.957		GA
242	IN	387.563		16.247	201.344		IN
243	IL	387.111		16.255	201.731		IL
244	FL	386.230		16.272	202.118		FL
245	IL	384.277		16.308	202.502		IL
246	MI	384.053		16.312	202.886		MI
247	AR	381.665		16.357	203.268		AR
248	WI	380.183		16.380	203.648		WI
249	NY	378.196		16.409	204.026		NY
250	DE	376.967		16.427	204.403		DE
251	IL	375.287		16.452	204.778		IL
252	MS	374.194		16.469	205.152		MS
253	OH	373.263		16.483	205.526		OH
254	IN	373.028		16.486	205.899		IN
255	PA	372.753		16.490	206.271		PA
256	TN	371.121		16.515	206.643		TN
257	IL	368.116		16.562	207.011		IL
258	PA	368.036		16.563	207.379		PA
259	PA	366.744		16.583	207.746		PA
260	KY	362.747		16.647	208.108		KY
261	CA	362.117		16.657	208.470		CA
262	TX	361.849		16.661	208.832		TX
263	GA	361.350		16.669	209.194		GA
264	TX	361.002		16.675	209.555		TX
265	MA	360.768		16.679	209.915		MA
266	AZ	360.228		16.687	210.276		AZ
267	CA	357.454		16.733	210.633		CA
268	PA	356.611		16.747	210.990		PA
269	TX	355.572		16.764	211.345		TX
270	WI	355.285		16.769	211.700		WI
271	MT	354.793		16.777	212.055		MT
272	GA	354.120		16.788	212.409		GA
273	GA	352.867		16.810	212.762		GA
274	AR	352.098		16.823	213.114		AR
275	KY	349.078		16.874	213.463		KY
276	NY	344.899		16.948	213.808		NY
277	IN	344.518		16.954	214.153		IN
278	NY	344.167		16.961	214.497		NY
279	NY	343.859		16.966	214.841		NY
280	OH	342.824		16.985	215.184		OH
281	MI	342.061		16.998	215.526		MI
282	KY	338.712		17.060	215.864		KY
283	NC	338.100		17.071	216.203		NC
284	WI	337.607		17.080	216.540		WI
285	FL	337.041		17.090	216.877		FL
286	GA	336.523		17.100	217.214		GA
287	WI	332.414		17.178	217.546		WI
288	OH	330.285		17.219	217.876		OH
289	TX	328.109		17.261	218.205		TX
290	FL	327.570		17.271	218.532		FL
291	OH	325.777		17.307	218.858		OH
292	ME	324.800		17.326	219.183		ME
293	MI	322.257		17.378	219.505		MI
294	CA	321.993		17.383	219.827		CA
295	IL	320.629		17.411	220.148		IL
296	MS	320.033		17.423	220.468		MS
297	CA	318.173		17.462	220.786		CA
298	GA	315.804		17.512	221.102		GA
299	OH	314.971		17.529	221.417		OH
300	IL	314.728		17.534	221.731		IL
301	CA	314.152		17.547	222.045		CA
302	MI	312.411		17.584	222.358		MI
303	OR	310.906		17.617	222.669		OR
304	MN	309.989		17.637	222.979		MN
305	NC	309.487		17.648	223.288		NC
306	WI	309.113		17.656	223.597		WI
307	LA	309.024		17.658	223.906		LA
308	DE	307.857		17.684	224.214		DE
309	CA	307.312		17.696	224.522		CA
310	AZ	306.383		17.717	224.828		AZ
311	MA	302.409		17.808	225.130		MA
312	AL	301.728		17.823	225.432		AL
313	OH	299.597		17.873	225.732		OH
314	FL	297.019		17.934	226.029		FL
315	OH	294.130		18.004	226.323		OH
316	OH	293.940		18.009	226.617		OH
317	AL	292.721		18.039	226.909		AL
318	CA	291.842		18.060	227.201		CA
319	WI	290.149		18.103	227.491		WI
320	CA	287.533		18.169	227.779		CA
321	SD	285.806		18.213	228.065		SD
322	CA	285.391		18.224	228.350		CA
323	PA	285.114		18.231	228.635		PA
324	UT	284.804		18.239	228.920		UT
325	CA	284.228		18.254	229.204		CA
326	GA	283.648		18.269	229.488		GA
327	NC	279.556		18.378	229.768		NC
328	OH	279.141		18.389	230.047		OH
329	TX	278.690		18.402	230.325		TX
330	CA	277.182		18.443	230.603		CA
331	AL	274.448		18.519	230.877		AL
332	MI	274.336		18.522	231.151		MI
333	NY	273.549		18.544	231.425		NY
334	PA	270.801		18.622	231.696		PA
335	IL	268.637		18.685	231.964		IL
336	TX	268.494		18.689	232.233		TX
337	MS	268.115		18.700	232.501		MS
338	IN	264.943		18.795	232.766		IN
339	MS	264.549		18.807	233.030		MS
340	NY	263.196		18.848	233.294		NY
341	AZ	261.244		18.907	233.555		AZ
342	CA	260.662		18.926	233.816		CA
343	WA	259.326		18.967	234.075		WA
344	GA	258.879		18.981	234.334		GA
345	IL	258.823		18.983	234.593		IL
346	PA	258.444		18.995	234.851		PA
347	SC	258.393		18.997	235.109		SC
348	MD	257.711		19.018	235.367		MD
349	SC	257.246		19.033	235.624		SC
350	TN	256.813		19.047	235.881		TN
351	MA	255.007		19.105	236.136		MA
352	TX	255.007		19.105	236.391		TX
353	TN	254.287		19.129	236.645		TN
354	CA	253.744		19.146	236.899		CA
355	IL	251.222		19.230	237.150		IL
356	KY	251.062		19.235	237.402		KY
357	KY	249.454		19.289	237.651		KY
358	NY	248.590		19.319	237.900		NY
359	MI	246.463		19.392	238.146		MI
360	SC	245.364		19.430	238.391		SC
361	LA	243.428		19.499	238.635		LA
362	TN	243.343		19.502	238.878		TN
363	NE	241.428		19.571	239.120		NE
364	AZ	240.620		19.600	239.360		AZ
365	NC	239.355		19.646	239.600		NC
366	MO	238.447		19.680	239.838		MO
367	CA	238.193		19.689	240.076		CA
368	PA	236.584		19.750	240.313		PA
369	IL	236.384		19.757	240.549		IL
370	CA	235.692		19.783	240.785		CA
371	CA	235.433		19.793	241.020		CA
372	IL	234.204		19.840	241.254		IL
373	TX	233.429		19.870	241.488		TX
374	OR	232.899		19.891	241.721		OR
375	IN	232.160		19.920	241.953		IN
376	KS	231.292		19.954	242.184		KS
377	TN	230.041		20.003	242.414		TN
378	MO	229.720		20.016	242.644		MO
379	CA	227.760		20.095	242.872		CA
380	IN	226.998		20.126	243.099		IN
381	HI	226.412		20.151	243.325		HI
382	GA	226.365		20.152	243.552		GA
383	PR	225.412		20.192	243.777		PR
384	NC	225.282		20.197	244.002		NC
385	AL	224.397		20.234	244.227		AL
386	KY	224.196		20.243	244.451		KY
387	GA	224.086		20.247	244.675		GA
388	ME	223.946		20.253	244.899		ME
389	NM	221.877		20.341	245.121		NM
390	CA	221.248		20.368	245.342		CA
391	TX	220.791		20.388	245.563		TX
392	MO	220.624		20.395	245.783		MO
393	TX	219.958		20.424	246.003		TX
394	TX	218.796		20.475	246.222		TX
395	MI	218.331		20.496	246.441		MI
396	MN	217.657		20.526	246.658		MN
397	IN	217.642		20.526	246.876		IN
398	IL	216.926		20.558	247.093		IL
399	CO	215.985		20.601	247.309		CO
400	MI	215.175		20.637	247.524		MI
401	IN	214.670		20.660	247.739		IN
402	PA	214.428		20.672	247.953		PA
403	KY	214.379		20.674	248.167		KY
404	IA	214.254		20.680	248.382		IA
405	CO	214.208		20.682	248.596		CO
406	NC	213.990		20.692	248.810		NC
407	NC	212.248		20.773	249.022		NC
408	PR	211.690		20.799	249.234		PR
409	WV	211.454		20.810	249.445		WV
410	NC	211.268		20.819	249.656		NC
411	KY	211.252		20.820	249.868		KY
412	NE	209.785		20.889	250.078		NE
413	WV	209.667		20.895	250.287		WV
414	TX	209.126		20.921	250.496		TX
415	WV	207.762		20.987	250.704		WV
416	TN	206.682		21.041	250.911		TN
417	PR	206.346		21.057	251.117		PR
418	WI	206.075		21.071	251.323		WI
419	PA	204.273		21.161	251.527		PA
420	AL	203.280		21.211	251.731		AL
421	WI	202.040		21.275	251.933		WI
422	MT	201.314		21.313	252.134		MT
423	IN	201.095		21.324	252.335		IN
424	FL	201.029		21.328	252.536		FL
425	OH	200.447		21.358	252.737		OH
426	MO	200.261		21.368	252.937		MO
427	GA	200.061		21.378	253.137		GA
428	CA	199.019		21.434	253.336		CA
429	VA	197.916		21.493	253.534		VA
430	IL	197.532		21.514	253.731		IL
431	MO	197.076		21.538	253.929		MO
432	TX	196.721		21.558	254.125		TX
433	IL	195.222		21.640	254.320		IL
434	OH	195.113		21.646	254.516		OH
435	IN	194.668		21.671	254.710		IN
436	MD	193.228		21.752	254.903		MD
437	SC	192.321		21.803	255.096		SC
438	KY	190.944		21.882	255.287		KY
439	TN	190.073		21.933	255.477		TN
440	PA	188.974		21.998	255.666		PA
441	MO	188.858		22.004	255.855		MO
442	OK	187.704		22.073	256.042		OK
443	CO	187.197		22.104	256.230		CO
444	IL	187.178		22.105	256.417		IL
445	OK	185.911		22.182	256.603		OK
446	KS	185.233		22.223	256.788		KS
447	CA	184.861		22.246	256.973		CA
448	CA	184.845		22.247	257.158		CA
449	IL	184.625		22.261	257.342		IL
450	VA	183.489		22.331	257.526		VA
451	KY	183.395		22.337	257.709		KY
452	KY	182.632		22.385	257.892		KY
453	MO	181.210		22.476	258.073		MO
454	OH	180.817		22.501	258.254		OH
455	GA	180.339		22.532	258.434		GA
456	PA	179.895		22.561	258.614		PA
457	TX	179.883		22.562	258.794		TX
458	TN	179.141		22.611	258.973		TN
459	PA	178.285		22.667	259.151		PA
460	KS	178.086		22.680	259.329		KS
461	NC	177.419		22.725	259.507		NC
462	AL	177.165		22.742	259.684		AL
463	AZ	176.809		22.766	259.861		AZ
464	OK	176.292		22.801	260.037		OK
465	SC	175.977		22.822	260.213		SC
466	WI	174.349		22.935	260.387		WI
467	SC	173.405		23.000	260.561		SC
468	OH	171.916		23.106	260.733		OH
469	NY	171.437		23.140	260.904		NY
470	TX	170.733		23.191	261.075		TX
471	FL	170.512		23.207	261.245		FL
472	ND	170.159		23.233	261.416		ND
473	FL	168.798		23.333	261.584		FL
474	MO	168.189		23.378	261.753		MO
475	MI	167.944		23.396	261.920		MI
476	IN	167.357		23.440	262.088		IN
477	LA	165.676		23.568	262.254		LA
478	IL	164.626		23.650	262.418		IL
479	FL	163.929		23.704	262.582		FL
480	KS	162.529		23.815	262.745		KS
481	MS	162.453		23.821	262.907		MS
482	CA	161.491		23.898	263.069		CA
483	TN	160.660		23.966	263.229		TN
484	WI	159.669		24.048	263.389		WI
485	CA	159.611		24.052	263.548		CA
486	LA	159.421		24.068	263.708		LA
487	SC	158.546		24.141	263.866		SC
488	FL	158.520		24.143	264.025		FL
489	OR	157.857		24.199	264.183		OR
490	CA	157.491		24.230	264.340		CA
491	MD	156.787		24.291	264.497		MD
492	WV	156.429		24.321	264.654		WV
493	NE	155.998		24.359	264.810		NE
494	PA	155.906		24.367	264.965		PA
495	VA	155.764		24.379	265.121		VA
496	NJ	155.526		24.400	265.277		NJ
497	LA	155.374		24.413	265.432		LA
498	MI	155.025		24.444	265.587		MI
499	ID	154.834		24.460	265.742		ID
500	CA	153.904		24.543	265.896		CA
501	TX	153.836		24.549	266.050		TX
502	NH	153.379		24.590	266.203		NH
503	TX	152.835		24.639	266.356		TX
504	IA	151.727		24.740	266.508		IA
505	CA	151.441		24.766	266.659		CA
506	KY	150.651		24.839	266.810		KY
507	IL	150.002		24.900	266.960		IL
508	PR	149.239		24.971	267.109		PR
509	PA	148.924		25.001	267.258		PA
510	TX	148.806		25.013	267.407		TX
511	AL	148.318		25.059	267.555		AL
512	NM	147.750		25.114	267.703		NM
513	PA	147.633		25.125	267.850		PA
514	VA	147.022		25.185	267.997		VA
515	VA	144.609		25.424	268.142		VA
516	PA	144.576		25.428	268.287		PA
517	IA	142.964		25.592	268.430		IA
518	NJ	142.471		25.643	268.572		NJ
519	CA	142.459		25.645	268.714		CA
520	AZ	142.210		25.671	268.857		AZ
521	GA	141.311		25.765	268.998		GA
522	WA	140.596		25.841	269.139		WA
523	MI	140.195		25.884	269.279		MI
524	MO	140.181		25.885	269.419		MO
525	NY	140.165		25.887	269.559		NY
526	OH	139.829		25.923	269.699		OH
527	NC	139.234		25.988	269.838		NC
528	HI	138.798		26.036	269.977		HI
529	TX	138.521		26.066	270.116		TX
530	VA	138.223		26.099	270.254		VA
531	IN	138.093		26.113	270.392		IN
532	FL	137.759		26.150	270.530		FL
533	ID	136.743		26.264	270.666		ID
534	IN	136.076		26.340	270.802		IN
535	CA	135.768		26.375	270.938		CA
536	OH	134.957		26.468	271.073		OH
537	IA	133.943		26.587	271.207		IA
538	CA	133.438		26.646	271.341		CA
539	MI	132.881		26.713	271.473		MI
540	MO	130.127		27.049	271.604		MO
541	NJ	130.076		27.055	271.734		NJ
542	AL	129.178		27.168	271.863		AL
543	NY	128.248		27.287	271.991		NY
544	CT	127.727		27.354	272.119		CT
545	NY	127.698		27.357	272.246		NY
546	WI	125.405		27.660	272.372		WI
547	PA	125.181		27.690	272.497		PA
548	SD	123.962		27.856	272.621		SD
549	NC	123.634		27.901	272.745		NC
550	MA	122.561		28.050	272.867		MA
551	CO	122.437		28.068	272.990		CO
552	VA	121.694		28.173	273.111		VA
553	AL	121.675		28.176	273.233		AL
554	NC	120.870		28.291	273.354		NC
555	MA	120.625		28.327	273.475		MA
556	AL	120.241		28.382	273.595		AL
557	AZ	120.088		28.405	273.715		AZ
558	LA	119.718		28.459	273.835		LA
559	MT	119.145		28.544	273.954		MT
560	KS	118.545		28.634	274.072		KS
561	UT	117.710		28.760	274.190		UT
562	KY	117.256		28.829	274.307		KY
563	MS	116.896		28.885	274.424		MS
564	ID	116.456		28.953	274.541		ID
565	AR	116.010		29.023	274.657		AR
566	NC	114.864		29.204	274.771		NC
567	AL	114.715		29.228	274.886		AL
568	CA	114.256		29.302	275.000		CA
569	PA	114.155		29.319	275.115		PA
570	AR	114.020		29.340	275.229		AR
571	PA	113.829		29.371	275.342		PA
572	TX	113.723		29.389	275.456		TX
573	SC	113.546		29.418	275.570		SC
574	OK	112.579		29.577	275.682		OK
575	FL	111.586		29.744	275.794		FL
576	MI	110.319		29.961	275.904		MI
577	CA	110.271		29.970	276.014		CA
578	VT	110.174		29.987	276.125		VT
;
