!rng_produced in MMcf/yr
!lcoe in MMBtu/yr
COMPOSITE TABLE:
proj_id	reg	rng_type	rng_produced	lcoe	
1	CA	landfill	3596.871	9.337   
2	NY	landfill	2553.961	9.835	
3	TX	landfill	2497.711	9.873	
4	CA	landfill	2326.553	10.002	
5	RI	landfill	2278.440	10.042	
6	FL	landfill	2133.989	10.172	
7	CA	landfill	2122.009	10.184	
8	MI	landfill	2119.076	10.186	
9	TX	landfill	2103.422	10.202	
10	TX	landfill	2085.913	10.219	
11	PA	landfill	2069.742	10.236	
12	CA	landfill	2056.868	10.249	
13	MI	landfill	2024.451	10.283	
14	OH	landfill	1957.264	10.357	
15	WA	landfill	1920.404	10.400	
16	IL	landfill	1905.302	10.418	
17	OH	landfill	1893.407	10.433	
18	VA	landfill	1778.461	10.582	
19	OR	landfill	1770.701	10.593	
20	OH	landfill	1765.221	10.601	
21	KS	landfill	1697.607	10.700	
22	WA	landfill	1607.521	10.844	
23	CA	landfill	1594.702	10.865	
24	NY	landfill	1573.838	10.888	
25	IL	landfill	1558.181	10.906	
26	TX	landfill	1468.410	11.014	
27	NH	landfill	1463.893	11.019	
28	TX	landfill	1433.877	11.059	
29	OH	landfill	1419.637	11.078	
30	PA	landfill	1408.921	11.093	
31	WI	landfill	1396.968	11.110	
32	FL	landfill	1393.310	11.115	
33	CA	landfill	1382.124	11.131	
34	CA	landfill	1381.759	11.131	
35	TX	landfill	1347.615	11.182	
36	MO	landfill	1326.678	11.214	
37	MI	landfill	1323.155	11.220	
38	TX	landfill	1292.857	11.268	
39	IL	landfill	1277.892	11.293	
40	PA	landfill	1267.625	11.311	
41	IN	landfill	1227.365	11.382	
42	TX	landfill	1216.428	11.402	
43	CA	landfill	1208.578	11.417	
44	PA	landfill	1174.478	11.483	
45	IL	landfill	1163.307	11.506	
46	GA	landfill	1130.569	11.574	
47	NY	landfill	1101.506	11.639	
48	IN	landfill	1097.932	11.647	
49	IN	landfill	1096.660	11.650	
50	NJ	landfill	1084.942	11.677	
51	NJ	landfill	1080.883	11.686	
52	TN	landfill	1076.503	11.697	
53	IL	landfill	1071.048	11.710	
