!___________________________________________________________________________________________
!
!                               NGMM Texas Inputs
!
!___________________________________________________________________________________________
!
!       1.  Texas specific parameters
!       2.  Texas subsets of data found in ngassumptions.txt
!	3.  Texas subsets of data found in ngeia.txt
!
!___________________________________________________________________________________________
!
!	Identifiers/inputs in ngtexas.txt
!
!	TXRegion_West
!	TXRegion_North
!	TXReion_East
!	TXRegion_
!	TXBrderCrossings_
!
!	TexasConsShares
!	TexasStorageShares
!	TX_ExportShares
!
!	HistoricalFlowAnnual	(merged with data in ngeia via AIMMS)
!	HistoricalExports	(merged with data in ngeia via AIMMS)
!	HistoricalImports 	(merged with data in ngeia via AIMMS)
!	HistoricalExportsPrice  (merged with data in ngeia via AIMMS)
!	HistoricalImportsPrice  (merged with data in ngeia via AIMMS)
!	PipeFuelLossFactorIN	(merged with data in ngassumptions via AIMMS)
!	PipeFuelLossFactorOUT	(merged with data in ngassumptions via AIMMS)
!	WeatherFactor1 		(merged with data in ngassumptions via AIMMS)
!	HistoricalSpotPrice     (merged with data in ngsporprc via AIMMS)
!
!___________________________________________________________________________________________

!Regional declarations
!Probably move to ngsetmap.txt when ready
TXRegion_West := 'TX_W';
TXRegion_North := 'TX_N';
TXRegion_East := 'TX_E';
TXRegion_ := {TX_W, TX_N, TX_E};
TXBorderCrossings_ := {TX_E-MX_NE, TX_W-MX_NE, TX_E-MX_SS};

!Most of these outputs are copied/pasted information from this folder:
!NGMM_preprocessing\texas\outputs

! SYK	7/19/23	 Updating from results of tx_process_elec.py
! Residential, Commercial, Industrial, and Electric share splits by region
Composite Table:
state     	sec              TexasConsShares
TX_W     	Residential      0.153358
TX_N      	Residential      0.41801
TX_E      	Residential      0.428205
TX_W      	Commercial       0.167184
TX_N     	Commercial       0.487569
TX_E      	Commercial       0.344993
TX_W		Electric	 0.054
TX_N		Electric	 0.209
TX_E		Electric	 0.737
TX_W		Industrial	 0.0421
TX_N		Industrial	 0.0666
TX_E		Industrial	 0.8913
;

! SYK	7/20/23	 Updated storage shares
Composite Table:
storage    TexasStorageShares
TX_W       0.019746
TX_N       0.156478
TX_E       0.823776
;

! 2011 regional shares to split pre-2011 history of Texas Trade. (Done in AIMMS)
! From \\fs-f3\OEA\PNGBA\_NGMT\NGMM\shared\Texas_data\preprocessing\outputs\TX_Export_Shares.txt
Composite Table:
tx_bx		TX_ExportShares
TX_E-MX_NE 	0.71
TX_W-MX_NE 	0.29
;


! SYK	7/20/23   Updated after running Texas pre-processor.
! SYK	7/9/24   Updated after running Texas pre-processor.
Composite Table:
reg        reg1            year        HistoricalFlowAnnual
AR         TX_E            1990        9.626
AR         TX_E            1991        10.543
AR         TX_E            1992        4.93
AR         TX_E            1993        4.458
AR         TX_E            1994        3.2
AR         TX_E            1995        3.7
AR         TX_E            1996        4.3
AR         TX_E            1997        3.5
AR         TX_E            1998        3.67
AR         TX_E            1999        3.353
AR         TX_E            2000        3.411
AR         TX_E            2001        2.576
AR         TX_E            2002        2.503
AR         TX_E            2003        2.605
AR         TX_E            2004        1.75
AR         TX_E            2005        1.9
AR         TX_E            2006        1.7
AR         TX_E            2007        2.3
AR         TX_E            2008        24
AR         TX_E            2009        21.374
AR         TX_E            2012        0
AR         TX_E            2014        0
AR         TX_E            2015        0
AR         TX_E            2017        0
AR         TX_E            2018        0
AR         TX_E            2019        0
AR         TX_E            2020        32.238
AR         TX_E            2021        0
AR         TX_E            2022        0
LA         TX_E            1990        68.547
LA         TX_E            1991        37.179
LA         TX_E            1992        10.135
LA         TX_E            1993        74.574
LA         TX_E            1994        72.413
LA         TX_E            1995        4.87
LA         TX_E            1996        6.712
LA         TX_E            1997        8.652
LA         TX_E            1998        24.635
LA         TX_E            1999        14.732
LA         TX_E            2000        32.104
LA         TX_E            2001        46.842
LA         TX_E            2002        1.722
LA         TX_E            2003        8.513
LA         TX_E            2004        5.831
LA         TX_E            2005        6.293
LA         TX_E            2006        6.042
LA         TX_E            2007        2
LA         TX_E            2012        80.728
LA         TX_E            2013        128.552
LA         TX_E            2014        63.434
LA         TX_E            2015        50.569
LA         TX_E            2016        123.13
LA         TX_E            2017        265.556
LA         TX_E            2018        403.725
LA         TX_E            2019        240.666
LA         TX_E            2020        562.194
LA         TX_E            2021        266.661
LA         TX_E            2022        10.494
MX_NE      MX_NE-TX_E      1996        13.862
MX_NE      MX_NE-TX_E      1997        17.243
MX_NE      MX_NE-TX_E      1998        13.536
MX_NE      MX_NE-TX_E      1999        54.53
MX_NE      MX_NE-TX_E      2000        11.601
MX_NE      MX_NE-TX_E      2001        10.276
MX_NE      MX_NE-TX_E      2002        1.755
MX_NE      MX_NE-TX_E      2003        0
MX_NE      MX_NE-TX_E      2004        0
MX_NE      MX_NE-TX_E      2005        9.32
MX_NE      MX_NE-TX_E      2006        12.749
MX_NE      MX_NE-TX_E      2007        54.061
MX_NE      MX_NE-TX_E      2008        41.969
MX_NE      MX_NE-TX_E      2009        26.343
MX_NE      MX_NE-TX_E      2010        7.492
MX_NE      MX_NE-TX_E      2011        0.501
MX_NE      MX_NE-TX_E      2012        0.314
MX_NE      MX_NE-TX_E      2013        1.046
MX_NE      MX_NE-TX_E      2014        1.426
