!7/24/18 KDL
!Changed TX-LA tariff curve; slightly higher across the board to match with historical flows in 2016
!Updates PA-NY tariff curve (much lower) 
!Raised MN-WI tariff considerably
!Lowered PA to MD tariff considerably
!Lowered a bit tariffs out of TN into AL, MS to improve flows into East South Central; may need further work


!File Name: PipeTariffByArc.txt                Created by David Fritsch                    3/3/2017          
!Mexico updated 09/27/16 by KDL based on Tariff data from ICF Mexico study
!Variable tariff curves are specified by five points (x1, y1) through (x5,y5) to draw four linear segments.  X axis represents pipeline utilization (aka load factor) 
!and y axis is tariff rate in $1987/mcf(aka price basis).
!The fifth point (x5, y5) represents a point above 100% load factor, to only be used in pipeline expansion routine. This fifth point (x5, y5) is set at x=120% and y=y4 * 2.
!KDL 030317  redone using gross flow fuel loss factors for ALL ARCS
!No intrastate pipeline fuel factors used
!            Created by David Fritsch                    3/3/2017            
!	10/03/17 updated and adjusted based on Canada tariffs http://www.tccustomerexpress.com/tollcalculator/tollcalculator_tool.html

!Read year for price conversion if not 1987
!TariffYearDollar := '1987';

!Generic tariff curve to use/apply if none exists
GenericTariffCurve := data table
        (q,step1) (p,step1) (q,step2) (p,step2) (q,step3) (p,step3) (q,step4) (p,step4) (q,step5) (p,step5) 
1	0.00      0.00      0.60      0.05      0.80      0.07      1.00      0.20      1.20      0.50   	!Very low price run up (think Rockies/Midwest)
2	0.00      0.00      0.60      0.05      0.80      0.25      1.00      0.50      1.20      1.50   	!Medium price run up
3	0.00      0.00      0.60      0.20      0.80      0.50      1.00      2.50      1.20      5.00   	!High price run up (think Northeast)
;

!Hub From  Hub To       x1      y1      x2      y2      x3       y3      x4       y4      x5      y5   Note
VariableTariffCurve := Data Table
                         (q,step1) (p,step1) (q,step2) (p,step2) (q,step3) (p,step3) (q,step4) (p,step4) (q,step5) (p,step5)                     
(AL      , FL      )        0.00      0.00      0.60      0.10      0.85      0.20      1.00      1.50      1.40      3.00   !
(AL      , GA      )        0.00      0.00      0.40      0.05      0.70      0.40      1.00      0.80      1.40      1.20   !updated 9/27/17
(AL      , MS      )        0.00      0.00      0.70      0.02      0.80      0.04      1.00      0.08      1.40      0.16   !
(AL      , TN      )        0.00      0.00      0.60      0.02      0.80      0.05      1.00      0.10      1.40      0.20   !
(AR      , LA      )        0.00      0.00      0.60      0.05      0.80      0.10      1.00      0.20      1.40      0.40   !
(AR      , MO      )        0.00      0.00      0.60      0.05      0.80      0.10      1.00      0.20      1.40      0.40   !
(AR      , MS      )        0.00      0.00      0.45      0.25      0.70      0.50      1.00      1.00      1.40      1.50   !10/4/17; tried to fix for Dana
!(AR      , MS      )        0.00      0.00      0.45      0.07      0.70      0.30      1.00      0.60      1.40      1.20   !
(AR      , OK      )        0.00      0.00      0.40      0.07      0.70      0.20      1.00      0.40      1.40      0.80   !
(AR      , TX_E    )        0.00      0.00      0.50      0.02      0.70      0.10      1.00      0.20      1.40      0.40   !
(AZ      , CA      )        0.00      0.00      0.60      0.15      0.80      0.30      1.00      0.60      1.40      1.20   !
(AZ      , AZ-MX_NW)        0.00      0.00      0.20      0.03      0.80      0.05      1.00      0.10      1.40      0.20   !
(AZ      , NV      )        0.00      0.00      0.60      0.10      0.80      0.50      1.00      1.00      1.40      2.00   !
(ID-CN_W , ID      )        0.00      0.00      0.60      0.03      0.90      0.20      1.00      0.40      1.40      0.80   !
(WA-CN_W , WA      )        0.00      0.00      0.50      0.03      0.80      0.10      1.00      0.20      1.40      0.40   !
(CA      , AZ      )        0.00      0.00      0.50      0.15      0.70      0.50      1.00      1.00      1.40      2.00   !
(CA      , CA-MX_NW)        0.00      0.00      0.40      0.02      0.80      0.20      1.00      0.40      1.40      0.80   !
(CA      , NV      )        0.00      0.00      0.80      0.30      0.90      0.50      1.00      1.00      1.40      2.00   !
(CO      , KS      )        0.00      0.00      0.60      0.05      0.80      0.15      1.00      0.30      1.40      0.60   !
(CO      , NE      )        0.00      0.00      0.40      0.09      0.70      0.50      1.00      1.00      1.40      2.00   !
(CO      , NM      )        0.00      0.00      0.60      0.05      0.80      0.15      1.00      0.30      1.40      0.60   !
(CO      , OK      )        0.00      0.00      0.60      0.02      0.80      0.15      1.00      0.50      1.40      1.00   !
(CO      , UT      )        0.00      0.00      0.60      0.01      0.90      0.15      1.00      0.30      1.40      0.60   !
(CO      , WY      )        0.00      0.00      0.40      0.03      0.70      0.15      1.00      0.30      1.40      0.60   !
(CT      , MA      )        0.00      0.00      0.40      0.10      0.80      0.20      1.00      0.40      1.40      0.80   !
(CT      , NY      )        0.00      0.00      0.70      0.05      0.90      0.30      1.00      0.60      1.40      1.20   !
(CT      , RI      )        0.00      0.00      0.80      0.20      0.90      1.00      1.00      2.00      1.40      4.00   !
(DE      , MD      )        0.00      0.00      0.40      0.05      0.70      0.25      1.00      0.50      1.40      1.00   !
(DE      , NJ      )        0.00      0.00      0.50      0.05      0.70      0.08      1.00      0.16      1.40      0.32   !
(GA      , AL      )        0.00      0.00      0.70      0.03      0.80      0.06      1.00      0.12      1.40      0.24   ! ADDED (copied GA, SC)updated 9/27/17
(GA      , FL      )        0.00      0.00      0.55      0.15      0.75      1.00      1.00      2.00      1.40      4.00   !
(GA      , SC      )        0.00      0.00      0.60      0.10      0.80      0.20      1.00      0.40      1.40      0.80   ! updated 9/27/17
(GA      , TN      )        0.00      0.00      0.50      0.02      0.80      0.15      1.00      0.30      1.40      0.60   !
(IA      , IL      )        0.00      0.00      0.80      0.02      0.90      0.05      1.00      0.10      1.40      0.20   !
(IA      , MN      )        0.00      0.00      0.50      0.01      0.80      0.20      1.00      0.40      1.40      0.80   !
(IA      , SD      )        0.00      0.00      0.40      0.01      0.70      0.10      1.00      0.20      1.40      0.40   !
