Composite Table:
h               h1              datayear    HistoricalCapacity
AR              TX_E            1990        635
AR              TX_E            1994        750
AR              TX_E            1995        750
AR              TX_E            1996        750
AR              TX_E            1997        750
AR              TX_E            1998        750
AR              TX_E            1999        750
AR              TX_E            2000        750
AR              TX_E            2001        750
AR              TX_E            2002        750
AR              TX_E            2003        750
AR              TX_E            2004        750
AR              TX_E            2005        750
AR              TX_E            2006        750
AR              TX_E            2007        750
AR              TX_E            2008        750
AR              TX_E            2009        750
AR              TX_E            2010        750
AR              TX_E            2011        750
AR              TX_E            2012        750
AR              TX_E            2013        750
AR              TX_E            2014        750
AR              TX_E            2015        750
AR              TX_E            2016        750
AR              TX_E            2017        750
AR              TX_E            2018        1210
AR              TX_E            2019        1210
AR              TX_E            2020        1210
AR              TX_E            2021        1510
LA              TX_E            1990        1191
LA              TX_E            1994        1267
LA              TX_E            1995        1267
LA              TX_E            1996        1267
LA              TX_E            1997        1267
LA              TX_E            1998        1267
LA              TX_E            1999        1267
LA              TX_E            2000        1267
LA              TX_E            2001        1267
LA              TX_E            2002        1267
LA              TX_E            2003        1270
LA              TX_E            2004        1270
LA              TX_E            2005        1270
LA              TX_E            2006        1270
LA              TX_E            2007        1270
LA              TX_E            2008        1270
LA              TX_E            2009        1270
LA              TX_E            2010        1270
LA              TX_E            2011        1270
LA              TX_E            2012        1270
LA              TX_E            2013        1270
LA              TX_E            2014        1270
LA              TX_E            2015        1270
LA              TX_E            2016        1270
LA              TX_E            2017        2587
LA              TX_E            2018        2587
LA              TX_E            2019        3865
LA              TX_E            2020        4440
LA              TX_E            2021        4440
MX_NE           TX_E-MX_NE      1990        350
MX_NE           TX_E-MX_NE      1994        350
MX_NE           TX_E-MX_NE      1995        350
MX_NE           TX_E-MX_NE      1996        350
MX_NE           TX_E-MX_NE      1997        350
MX_NE           TX_E-MX_NE      1998        350
MX_NE           TX_E-MX_NE      1999        350
MX_NE           TX_E-MX_NE      2000        865
MX_NE           TX_E-MX_NE      2001        865
MX_NE           TX_E-MX_NE      2002        865
MX_NE           TX_E-MX_NE      2003        865
MX_NE           TX_E-MX_NE      2004        865
MX_NE           TX_E-MX_NE      2005        865
MX_NE           TX_E-MX_NE      2006        865
MX_NE           TX_E-MX_NE      2007        865
MX_NE           TX_E-MX_NE      2008        925
MX_NE           TX_E-MX_NE      2009        925
MX_NE           TX_E-MX_NE      2010        925
MX_NE           TX_E-MX_NE      2011        925
MX_NE           TX_E-MX_NE      2012        925
MX_NE           TX_E-MX_NE      2013        925
MX_NE           TX_E-MX_NE      2014        925
MX_NE           TX_E-MX_NE      2015        925
MX_NE           TX_E-MX_NE      2016        925
MX_NE           TX_E-MX_NE      2017        925
MX_NE           TX_E-MX_NE      2018        925
MX_NE           TX_E-MX_NE      2019        925
MX_NE           TX_E-MX_NE      2020        925
MX_NE           TX_E-MX_NE      2021        925
NM              TX_W            1990        2114
NM              TX_W            1994        2386
NM              TX_W            1995        2386
NM              TX_W            1996        2386
NM              TX_W            1997        2386
NM              TX_W            1998        2386
NM              TX_W            1999        2386
NM              TX_W            2000        2386
NM              TX_W            2001        2386
NM              TX_W            2002        2386
NM              TX_W            2003        2386
NM              TX_W            2004        2396
NM              TX_W            2005        2396
NM              TX_W            2006        2396
NM              TX_W            2007        2396
NM              TX_W            2008        2396
NM              TX_W            2009        2396
NM              TX_W            2010        2396
NM              TX_W            2011        2396
NM              TX_W            2012        2396
NM              TX_W            2013        2396
NM              TX_W            2014        2396
NM              TX_W            2015        2396
NM              TX_W            2016        2396
NM              TX_W            2017        2396
NM              TX_W            2018        2396
NM              TX_W            2019        2396
NM              TX_W            2020        2796
NM              TX_W            2021        4305
OK              TX_N            1990        0
OK              TX_N            1994        0
OK              TX_N            1995        0
OK              TX_N            1996        0
OK              TX_N            1997        0
OK              TX_N            1998        0
OK              TX_N            1999        0
OK              TX_N            2000        0
OK              TX_N            2001        0
OK              TX_N            2002        0
OK              TX_N            2003        0
OK              TX_N            2004        0
OK              TX_N            2005        0
OK              TX_N            2006        0
OK              TX_N            2007        0
OK              TX_N            2008        0
OK              TX_N            2009        3259
OK              TX_N            2010        3559
OK              TX_N            2011        3559
OK              TX_N            2012        3559
OK              TX_N            2013        3559
OK              TX_N            2014        3559
OK              TX_N            2015        3559
OK              TX_N            2016        3559
OK              TX_N            2017        3559
OK              TX_N            2018        3559
OK              TX_N            2019        3559
OK              TX_N            2020        3559
OK              TX_N            2021        3559
OK              TX_W            1990        2060
OK              TX_W            1994        3142
OK              TX_W            1995        3142
OK              TX_W            1996        3142
OK              TX_W            1997        3142
OK              TX_W            1998        3142
OK              TX_W            1999        3172
OK              TX_W            2000        3172
OK              TX_W            2001        3256
OK              TX_W            2002        3256
OK              TX_W            2003        3256
OK              TX_W            2004        3256
OK              TX_W            2005        3329
OK              TX_W            2006        3329
OK              TX_W            2007        3329
OK              TX_W            2008        3329
OK              TX_W            2009        3329
OK              TX_W            2010        3329
OK              TX_W            2011        3329
OK              TX_W            2012        3329
OK              TX_W            2013        3329
OK              TX_W            2014        3329
OK              TX_W            2015        3329
OK              TX_W            2016        3329
OK              TX_W            2017        3329
OK              TX_W            2018        3729
OK              TX_W            2019        3729
OK              TX_W            2020        3729
OK              TX_W            2021        3729
TX_E            AR              1990        1851
TX_E            AR              1994        2072
TX_E            AR              1995        2072
TX_E            AR              1996        2072
TX_E            AR              1997        2072
TX_E            AR              1998        2072
TX_E            AR              1999        2072
TX_E            AR              2000        2072
TX_E            AR              2001        2072
TX_E            AR              2002        2072
TX_E            AR              2003        2072
TX_E            AR              2004        2072
TX_E            AR              2005        2072
TX_E            AR              2006        2072
TX_E            AR              2007        2072
TX_E            AR              2008        2072
TX_E            AR              2009        2072
TX_E            AR              2010        2072
TX_E            AR              2011        2184
TX_E            AR              2012        2184
TX_E            AR              2013        2184
TX_E            AR              2014        2184
TX_E            AR              2015        2184
TX_E            AR              2016        2184
TX_E            AR              2017        2184
TX_E            AR              2018        2184
TX_E            AR              2019        2184
TX_E            AR              2020        2184
TX_E            AR              2021        2184
TX_E            LA              1990        5909.2
TX_E            LA              1994        5942.1
TX_E            LA              1995        5942.1
TX_E            LA              1996        6084.1
TX_E            LA              1997        6104.1
TX_E            LA              1998        5909.1
TX_E            LA              1999        6244.1
TX_E            LA              2000        6254.1
TX_E            LA              2001        6254.1
TX_E            LA              2002        6254.1
TX_E            LA              2003        6257.1
TX_E            LA              2004        6257.1
TX_E            LA              2005        6337.1
TX_E            LA              2006        6459.1
TX_E            LA              2007        8372.1
TX_E            LA              2008        10588.1
TX_E            LA              2009        13947.1
TX_E            LA              2010        16077.1
TX_E            LA              2011        18577
TX_E            LA              2012        18577
TX_E            LA              2013        18577
TX_E            LA              2014        18577
TX_E            LA              2015        18577
TX_E            LA              2016        18577
TX_E            LA              2017        18577
TX_E            LA              2018        18577
TX_E            LA              2019        18577
TX_E            LA              2020        18577
TX_E            LA              2021        18577
TX_E            TX_E-MX_NE      1990        449
TX_E            TX_E-MX_NE      1994        499
TX_E            TX_E-MX_NE      1995        499
TX_E            TX_E-MX_NE      1996        499
TX_E            TX_E-MX_NE      1997        499
TX_E            TX_E-MX_NE      1998        499
TX_E            TX_E-MX_NE      1999        684
TX_E            TX_E-MX_NE      2000        934
TX_E            TX_E-MX_NE      2001        934
TX_E            TX_E-MX_NE      2002        1269
TX_E            TX_E-MX_NE      2003        1664
TX_E            TX_E-MX_NE      2004        1689
TX_E            TX_E-MX_NE      2005        1689
TX_E            TX_E-MX_NE      2006        1689
TX_E            TX_E-MX_NE      2007        1689
TX_E            TX_E-MX_NE      2008        1749
TX_E            TX_E-MX_NE      2009        1749
TX_E            TX_E-MX_NE      2010        1799
TX_E            TX_E-MX_NE      2011        1799
TX_E            TX_E-MX_NE      2012        1799
TX_E            TX_E-MX_NE      2013        1799
TX_E            TX_E-MX_NE      2014        4114
TX_E            TX_E-MX_NE      2015        4254
TX_E            TX_E-MX_NE      2016        4254
TX_E            TX_E-MX_NE      2017        4254
TX_E            TX_E-MX_NE      2018        5387
