MER Mapping,AEO Mapping
(ELDUPUS-(ELEGPUS-ELTCPUS))/1000*(ELC5PUS)/(ELC5PUS+ELI5PUS),CST000:dgg_forOwnUse
NUGBPUS/1000,EGC000:ba_NuclearPower
ESCCPUS/1000,ESD000:ia_Commercial
ESICPUS/1000,ESD000:ia_Industrial
ESRCPUS/1000,ESD000:ia_Residential
ELTCPUS/1000,ESD000:ia_TotalConsumpt
ESACPUS/1000,ESD000:ia_Transportatio
ESTCUUS*1000*(1.37/GDPDIUS),ESD000:ja_AllSectorsAve
ESCMUUS*1000*(1.133393/GDPDIUS),ESD000:ja_Commercial
ESRCUUS*1000*(1.133393/GDPDIUS),ESD000:ja_Residential
CLETPUS/1000,ESD000:xx_CoalInSocks
NGETPUS/1000,ESD000:xx_NaturalGas
NUETPUS/1000,ESD000:xx_NuclearPower
(HVETPUS+WDETPUS+WSETPUS+GEETPUS+SOETPUS+WYETPUS)/1000,ESD000:xx_RenewableSour
CLICBUS/1000,IKI000:da_CoalSubtotal
(TEICBUS-LOICBUS)/1000,IKI000:da_DeliveredEner
NNICBUS/1000,IKI000:da_NaturalGasSub
ESICBUS/1000,IKI000:da_PurchasedElec
GDPRXUS,MEI000:ba_RealGrossDome
TPOPPUS/1000000,MEI000:ka_Populationwit
NGEXPMX/1000,NGI000:da_PipelineExpor
NGPRPUS/1000,NGS000:ba_DryGasProduct
NGTCPUS/1000,NGS000:ea_Total
NGCCUUS*1000*(1.133393/GDPDIUS),NGS000:ja_Commercial
NGRCUUS*1000*(1.133393/GDPDIUS),NGS000:ja_Residential
PAPRPUS/1000,PSD000:ba_DomesticCrude
(CLRCBUS+BMRCBUS+PARCBUS+NNRCBUS+ESRCBUS)/1000,QUA000:ca_DeliveredEner
ESRCBUS/1000,QUA000:ca_Electricity
NNRCBUS/1000,QUA000:ca_NaturalGas
PARCBUS/1000,QUA000:ca_PetroleumSubt
TERCBUS/1000,QUA000:ca_Total
(BMCCBUS+PMCCBUS+NNCCBUS+ESCCBUS)/1000,QUA000:da_DeliveredEner
ESCCBUS/1000,QUA000:da_Electricity
NNCCBUS/1000,QUA000:da_NaturalGas
PMCCBUS/1000,QUA000:da_PetroleumSubt
TECCBUS/1000,QUA000:da_Total
HLICBUS/1000,QUA000:ea_LiquefiedPetr
TEICBUS/1000,QUA000:ea_Total
ESACBUS/1000,QUA000:fa_Electricity
TEACBUS/1000,QUA000:fa_Total
TETCBUS/1000,QUA000:ia_Total
REACBUS/1000,REM000:fa_Transportatio
SOTEPUS/1000,REN000:x2_AllSunnyOut
WYETPUS/1000,REN000:x2_WetandDryWind
SOR7PUS/1000,RST000:dgg_forOwnUse
CLPRBUS/1000,SUP000:ba_Coal
PAPRBUS/1000,SUP000:ba_CrudeOilLease
NGPRBUS/1000,SUP000:ba_DryNaturalGas
HVTCBUS/1000,SUP000:ba_Hydropower
NLPRBUS/1000,SUP000:ba_NaturalGasPla
NUETBUS/1000,SUP000:ba_NuclearPower
TEPRBUS/1000,SUP000:ba_Total
TEIMBUS/1000,SUP000:ca_Total
TEEXBUS/1000,SUP000:da_Total
CLTCBUS/1000,SUP000:fa_Coal
HVTCBUS/1000,SUP000:fa_Hydropower
NNTCBUS/1000,SUP000:fa_NaturalGas
NUETBUS/1000,SUP000:fa_NuclearPower
PMTCBUS/1000,SUP000:fa_PetroleumProd
TXEIEUS,TCE000:fa_Total
CKTCEUS,TCE000:ga_Coal
NNTCEUS,TCE000:ga_NaturalGas
PMTCEUS,TCE000:ga_Petroleum
TETCEUS,TCE000:ga_Total
