AEO Published Table number,Layin table number,AEO Tables,,,
1,1,"aeotab1.xlsx -aeotab20.xlsx
yearbyyear.xlsx",,,
2,2,,sup_t2t3.xlsx,table 2: 1-9,
3,3,,,table 3: 1-9,
4,4,,,,
5,5,,,,
6,6,,,,
7,7,,,,
8,8,,,,
9,9,,,,
10,10,,,,
11,11,,,,
12,12,,,,
13,13,,,,
14,14,,,,
15,15,,,,
16,16,,,,
17,24,,,,
18,17,,sup_t2t3.xlsx,table 18: 1-9,
19,22,,,,
20,18,,,,
21,30,sup_rci.xlsx,,,
22,32,,,,
23,34,,,,
24,35,,,,
25,36,,,,
26,37,,,,
27,38,,,,
28,39,,,,
29,40,,,,
30,41,,,,
31,42,,,,
32,139,,,,
33,140,,,,
34,43,,,,
35,35,sup_tran.xlsx,,,
36,36,,,,
37,37,,,,
38,38,,,table 38: 1-9,
39,39,,,,
40,40,,,,
41,41,,,,
42,42,,,,
43,43,,,,
44,44,,,,
45,45,,,,
46,46,,,,
47,47,,,,
48,48,,,,
49,49,,,,
50,50,,,,
51,51,,,,
52,52,,,,
53,53,,,,
54,62,sup_elec.xlsx,,table 54: 1-25,
55,123,,,table 56: 1-25,
56,67,,,table 57: 1-9,
57,70,sup_ogc.xlsx,,,
58,71,,,,
59,72,,,,
60,76,,,,
61,77,,,,
62,78,,,,
63,90,,,,
64,94,,,,
65,95,,,,
66,99,,,,
67,100,,,,
68,20,,,,
69,73,,,table 73: 1-9
